Nº;HOME;AWAY
1;Rionegro;CD América
2;Once Caldas;Llaneros
3;CD América;Boyacá Chicó
4;Pasto;AD Cali
5;CA Bucaramanga;Nacional
6;Envigado;Once Caldas
7;Millonarios;Alianza
8;Unión Magdalena;Santa Fe
9;Independiente;Rionegro
10;CD América;Fortaleza FC
11;Llaneros;Pereira
12;La Equidad;Junior
13;Boyacá Chicó;Tolima
14;Once Caldas;CD América
15;Nacional;Unión Magdalena
16;Santa Fe;Pasto
17;Fortaleza FC;Millonarios
18;Rionegro;Llaneros
19;Pereira;Boyacá Chicó
20;Alianza;Envigado
21;AD Cali;La Equidad
22;Tolima;CA Bucaramanga
23;Junior;Independiente
24;La Equidad;Santa Fe
25;AD Cali;Rionegro
26;Unión Magdalena;Pereira
27;Independiente;Tolima
28;CA Bucaramanga;Fortaleza FC
29;Llaneros;Alianza
30;Boyacá Chicó;Once Caldas
31;Millonarios;Nacional
32;Pasto;Junior
33;Envigado;CD América
34;CD América;Millonarios
35;Pereira;AD Cali
36;CA Bucaramanga;Envigado
37;Nacional;Boyacá Chicó
38;Santa Fe;Independiente
39;Once Caldas;La Equidad
40;Fortaleza FC;Llaneros
41;Tolima;Junior
42;Alianza;Pasto
43;Rionegro;Unión Magdalena
44;Boyacá Chicó;Fortaleza FC
45;Independiente;Once Caldas
46;Envigado;Tolima
47;Pasto;Rionegro
48;Llaneros;Santa Fe
49;La Equidad;CD América
50;Junior;Alianza
51;Millonarios;Pereira
52;AD Cali;Nacional
53;Unión Magdalena;CA Bucaramanga
54;Fortaleza FC;Independiente
55;CD América;AD Cali
56;Santa Fe;Boyacá Chicó
57;Nacional;Pasto
58;Pereira;Junior
59;Envigado;Unión Magdalena
60;CA Bucaramanga;Millonarios
61;Alianza;Rionegro
62;Tolima;La Equidad
63;Rionegro;Pereira
64;Independiente;Nacional
65;La Equidad;Alianza
66;Boyacá Chicó;Envigado
67;AD Cali;Tolima
68;Llaneros;CA Bucaramanga
69;Junior;CD América
70;Pasto;Fortaleza FC
71;Unión Magdalena;Once Caldas
72;Alianza;AD Cali
73;Nacional;Llaneros
74;Fortaleza FC;La Equidad
75;CA Bucaramanga;Independiente
76;Santa Fe;Junior
77;Once Caldas;Millonarios
78;Tolima;Unión Magdalena
79;Pereira;Pasto
80;Envigado;Rionegro
81;AD Cali;Santa Fe
82;Unión Magdalena;CD América
83;Junior;Fortaleza FC
84;Independiente;Pereira
85;Boyacá Chicó;Alianza
86;La Equidad;CA Bucaramanga
87;Millonarios;Envigado
88;Pasto;Once Caldas
89;Llaneros;Tolima
90;Rionegro;Nacional
91;Millonarios;Boyacá Chicó
92;Tolima;Rionegro
93;CA Bucaramanga;Pasto
94;Envigado;Llaneros
95;Nacional;Junior
96;Fortaleza FC;Unión Magdalena
97;Alianza;Santa Fe
98;CD América;Independiente
99;Once Caldas;AD Cali
100;Pereira;La Equidad
