;WEEK2;WEEK3;WEEK4;WEEK5;WEEK6;WEEK7;WEEK8;WEEK9;WEEK10;WEEK11;WEEK12;WEEK13;WEEK14;WEEK15;WEEK16;WEEK17;WEEK18;WEEK19;WEEK20;WEEK21;WEEK22;WEEK23;WEEK24;WEEK25;WEEK26;WEEK27;WEEK28
BTSV;-2.0;-3.874999999999991;-4.892260794076121;-2.55563149592514;-2.116039332074832;-1.451677379481395;-1.506325876601279;-1.0132916633036404;-1.2122097625649793;-1.1794608238240365;-1.0310252002759581;-0.7119625937568008;-0.7241187841088326;-0.8048243646130814;-1.0511289133571706;-1.1215277777777777;-1.1111111111111116;-1.0583333333333338;-0.9791464227829065;-0.9567402642258913;-0.8259813954647196;-0.7423136574164428;-0.856783376576695;-0.8277462181143109;-0.7859188458856364;-0.9203067831407191;-0.896528994540147
Darmstadt 98;-1.0;-0.1250000000000011;-0.4134981591041025;-1.745709763908201;-1.7156981628740224;-1.1267520770705752;-0.8885702371797317;-0.6433059344343988;-0.11359997304129332;-0.18274636597440977;0.11760601145670735;0.32068415344557444;0.40238934235024443;0.3221675948181961;0.3363313671977344;0.5798611111111125;0.3888888888888901;0.3833333333333335;0.3294624591654953;0.2654703923094577;0.14038488573392705;0.06652298842613741;0.1352079893919151;0.04116326267126541;0.14909986579679904;0.11244003789177115;0.0565886244901211
Düsseldorf;1.0;2.1249999999999964;0.992011484596311;0.5619368843283903;0.9440362111808358;1.1919689119477896;1.2012276136051472;0.7949438907989093;0.7712820984632647;0.5857301992254282;0.4181520999963483;0.3753510255176944;0.25832421664929905;0.27999237901911667;0.5118475123909944;0.4618055555555552;0.2777777777777773;0.2833333333333322;0.31978099652102066;0.34314997623817234;0.32399999304576915;0.33874503382660737;0.34924895197206424;0.2722656521835774;0.17750830371100013;0.1594764301681237;0.09655932510076032
Elversberg;0.0;-1.3750000000000018;-0.7985066487440875;0.8599611375188454;1.1116976466470754;0.41958413569880754;0.8423822144192568;0.8361236629719003;0.6313816117656267;0.8563430580505439;0.48844177506492403;0.6317205012259468;0.7522484613213307;0.6077171653704568;0.6483525887298248;0.722222222222222;0.4999999999999998;0.341666666666666;0.29635530382580616;0.2905524730414597;0.413288370911117;0.45409010937395966;0.43074261044497686;0.565454762435812;0.5524046661379398;0.4799570504514257;0.4992487313158742
Greuther Fürth;1.0;1.166666666666666;1.933187565035647;1.2833100653090501;0.8738628685658745;0.10991622618199391;0.12618191086728556;0.21850178061679923;-0.30136894462756997;-0.20202413765417215;-0.5260381351925151;-0.4841506981446934;-0.4861972809454252;-0.4864116152379846;-0.3827264239028942;-0.27430555555555386;-0.49999999999999944;-0.5388888888888891;-0.5977949925318355;-0.5130104545748565;-0.51140118828223;-0.5534186534405925;-0.4448592721555904;-0.36783738921713277;-0.333869207069495;-0.43134212818381434;-0.42063883729021806
Hamburger SV;0.49999999999999956;0.12499999999999556;0.6843781043931002;1.2052583816985345;1.4948333077862657;1.194980923266276;0.9881575837084926;1.252142430866324;1.4209690877414822;1.1677740915821484;1.073295234189393;0.729105169533427;0.6399061949156287;0.7611669096781692;0.7284780578898222;0.6631944444444441;0.8888888888888891;0.9194444444444447;0.9285573454538049;0.8861303378149065;0.8812729731666037;0.7693086047291446;0.8719251618361711;0.7647766517265233;0.8555412402639972;0.9628889253088125;0.951831882554883
Hannover 96;0.9999999999999996;0.5000000000000001;1.306973811818875;0.4539996155058104;0.7212554469170953;0.5130900726814377;0.538452305430551;0.054070770613800986;0.2069430175667562;0.5291189656989912;0.6411851930799249;0.4586786980621649;0.3743045495587421;0.3717617086499276;0.39514472455648925;0.2951388888888888;0.27777777777777757;0.2305555555555556;0.2017037543353337;0.2417473522315792;0.24550217179883374;0.2448239594598344;0.24877468117524096;0.27857642215963996;0.2383986148751509;0.2688635346447501;0.27409627525403074
Hertha BSC;-0.4999999999999999;0.37499999999999856;1.0816236141694446;0.7489472210161467;0.060986830775666453;0.31544983151936484;-0.09939364505343146;-0.16235652145318274;0.012203524352856335;0.2742643186869284;0.17859983386474348;0.022207786084052276;0.01667653641658563;0.16324561024171885;0.060410830999066106;-0.017361111111110706;-2.349769265682208e-16;0.06388888888888962;0.05990127661213404;-0.11967418891048755;-0.14268443934614342;-0.16403504629624904;-0.14981643422198615;-0.28704006761427087;-0.31687865986532676;-0.18602909344077037;-0.11266715423307523
Jahn R'burg;-0.9999999999999997;-0.8333333333333324;-0.3066116019184289;-1.2939065628738424;-2.0017440481748205;-2.307607386499494;-2.117031543246754;-2.2120637706395256;-2.1868007086971435;-2.3865119270107416;-2.069474004985251;-2.13516741035174;-2.034349965288161;-1.930173749308897;-1.839295632614048;-1.8576388888888882;-1.6666666666666667;-1.619444444444444;-1.746120351383509;-1.5722781024981825;-1.573729683210714;-1.477378784445366;-1.499520745209138;-1.5570294187865574;-1.483080785878526;-1.449384505363383;-1.353510912544507
Kaiserslautern;0.4999999999999999;0.4999999999999997;1.3893034220913405;0.4282709729672407;-0.22240029747786605;0.025725946833840038;-0.3670315432467532;-0.4012521573108;-0.0007907573669080075;0.22357254272331567;0.1926178418150113;0.1548024155546067;0.15125157382806453;0.3364929173577695;0.4579937574502822;0.20833333333333412;0.1666666666666672;0.19722222222222197;0.2639047112731325;0.29094849481850754;0.3137249679153681;0.30213564860388487;0.2088125881241947;0.2506628889057508;0.26599328905659897;0.2049183739324488;0.27928457123968287
