COUNTRY;LEAGUE;Total Jogos;DIFF_FTR = H;DIFF_FTR = A;DIFF_FTR = H e FTR = H ou D;DIFF_FTR = A e FTR = A ou D;% acertos H;% acertos A;% acertos total
Inglaterra-1;Premier League;298;30;26;25;23;0,83;0,88;0,86
Inglaterra-2;EFL Championship;468;26;28;26;18;1,0;0,64;0,81
Italia-1;Serie A;300;23;27;22;21;0,96;0,78;0,86
Italia-2;Serie B;310;4;10;3;7;0,75;0,7;0,71
Espanha-1;La Liga;289;20;25;18;19;0,9;0,76;0,82
Espanha-2;La Liga 2;363;7;8;4;4;0,57;0,5;0,53
Alemanha-1;Bundesliga;243;31;23;27;18;0,87;0,78;0,83
Alemanha-2;2. Bundesliga;243;15;27;13;18;0,87;0,67;0,74
França-1;Ligue 1;243;31;33;29;23;0,94;0,7;0,81
França-2;Ligue 2;252;10;15;7;9;0,7;0,6;0,64
