WEEK;DATE;HOME;AWAY;FTHG;FTAG;DIFF
1;28/03/2025;FC Universitario;Guabirá;4;2;2
1;28/03/2025;Nacional Potosí;Always Ready;0;1;-1
1;29/03/2025;ABB;San Antonio Bulo Bulo;2;0;2
1;29/03/2025;Wilstermann;Indep Petrolero;0;1;-1
1;28/03/2025;Bolívar;Real Oruro;3;1;2
1;30/03/2025;GV San José;Real Tomayapo;3;1;2
1;30/03/2025;Aurora;Oriente Petrolero;5;1;4
1;30/03/2025;Blooming;The Strongest;3;1;2
2;04/04/2025;Real Oruro;ABB;0;1;-1
2;03/04/2025;Oriente Petrolero;FC Universitario;0;0;0
2;05/04/2025;San Antonio Bulo Bulo;Wilstermann;2;0;2
2;05/04/2025;Always Ready;Blooming;2;1;1
2;04/04/2025;Guabirá;Aurora;5;2;3
2;06/04/2025;Indep Petrolero;GV San José;0;2;-2
2;06/04/2025;The Strongest;Nacional Potosí;2;0;2
2;05/04/2025;Real Tomayapo;Bolívar;2;1;1
3;11/04/2025;ABB;Real Tomayapo;0;0;0
3;11/04/2025;Indep Petrolero;Real Oruro;0;0;0
3;12/04/2025;FC Universitario;Blooming;1;2;-1
3;12/04/2025;Bolívar;Wilstermann;5;1;4
3;13/04/2025;GV San José;The Strongest;0;4;-4
3;13/04/2025;Oriente Petrolero;Always Ready;1;2;-1
3;12/04/2025;Aurora;San Antonio Bulo Bulo;2;0;2
3;14/04/2025;Nacional Potosí;Guabirá;3;0;3
4;18/04/2025;San Antonio Bulo Bulo;Nacional Potosí;2;2;0
4;18/04/2025;The Strongest;Aurora;3;2;1
4;19/04/2025;Always Ready;GV San José;2;0;2
4;18/04/2025;Real Tomayapo;FC Universitario;1;1;0
4;20/04/2025;Guabirá;Bolívar;2;4;-2
4;20/04/2025;Real Oruro;Oriente Petrolero;1;1;0
4;20/04/2025;Wilstermann;ABB;0;1;-1
4;19/04/2025;Blooming;Indep Petrolero;3;1;2
5;25/04/2025;Aurora;Real Oruro;2;2;0
5;26/04/2025;GV San José;ABB;1;1;0
5;26/04/2025;Oriente Petrolero;San Antonio Bulo Bulo;1;1;0
5;25/04/2025;Guabirá;Real Tomayapo;1;0;1
5;27/04/2025;Nacional Potosí;Wilstermann;1;2;-1
5;27/04/2025;FC Universitario;Always Ready;0;7;-7
5;27/04/2025;Bolívar;Blooming;5;1;4
5;26/04/2025;Indep Petrolero;The Strongest;1;1;0
6;02/05/2025;San Antonio Bulo Bulo;Indep Petrolero;4;2;2
6;03/05/2025;The Strongest;Guabirá;5;1;4
6;04/05/2025;ABB;Bolívar;0;3;-3
6;04/05/2025;Wilstermann;Always Ready;2;7;-5
6;03/05/2025;Real Tomayapo;Aurora;0;0;0
6;05/05/2025;Real Oruro;FC Universitario;2;0;2
6;04/05/2025;Blooming;GV San José;5;1;4
7;10/05/2025;FC Universitario;ABB;2;0;2
7;10/05/2025;Guabirá;Real Oruro;3;1;2
7;09/05/2025;Blooming;Wilstermann;3;1;2
7;11/05/2025;Always Ready;Real Tomayapo;1;1;0
7;11/05/2025;The Strongest;San Antonio Bulo Bulo;6;3;3
7;11/05/2025;Aurora;Bolívar;0;2;-2
7;10/05/2025;Indep Petrolero;Oriente Petrolero;5;2;3
8;16/05/2025;ABB;Guabirá;1;1;0
8;16/05/2025;Nacional Potosí;Aurora;3;1;2
8;16/05/2025;Real Tomayapo;Indep Petrolero;3;3;0
