COUNTRY;LEAGUE;WEEK;DATE;HOME;AWAY;FTHG;FTAG;FTR;HOME_SCORE;AWAY_SCORE;DIFF_SCORE;DIFF_FTR
bolivia;Primera Div;1;28/03/2025;FC Universitario;Guabirá;4;2;H;0.0;0.0;0.0;D
bolivia;Primera Div;1;28/03/2025;Nacional Potosí;Always Ready;0;1;A;0.0;0.0;0.0;D
bolivia;Primera Div;1;29/03/2025;ABB;San Antonio Bulo Bulo;2;0;H;0.0;0.0;0.0;D
bolivia;Primera Div;1;29/03/2025;Wilstermann;Indep Petrolero;0;1;A;0.0;0.0;0.0;D
bolivia;Primera Div;1;28/03/2025;Bolívar;Real Oruro;3;1;H;0.0;0.0;0.0;D
bolivia;Primera Div;1;30/03/2025;GV San José;Real Tomayapo;3;1;H;0.0;0.0;0.0;D
bolivia;Primera Div;1;30/03/2025;Aurora;Oriente Petrolero;5;1;H;0.0;0.0;0.0;D
bolivia;Primera Div;1;30/03/2025;Blooming;The Strongest;3;1;H;0.0;0.0;0.0;D
bolivia;Primera Div;2;04/04/2025;Real Oruro;ABB;0;1;A;-1.0;0.9999999999999992;-1.9999999999999991;A
bolivia;Primera Div;2;03/04/2025;Oriente Petrolero;FC Universitario;0;0;D;-2.0000000000000004;0.9999999999999996;-3.0;A
bolivia;Primera Div;2;05/04/2025;San Antonio Bulo Bulo;Wilstermann;2;0;H;-0.9999999999999998;-0.5;-0.4999999999999998;D
bolivia;Primera Div;2;05/04/2025;Always Ready;Blooming;2;1;H;0.4999999999999998;0.9999999999999996;-0.4999999999999998;D
bolivia;Primera Div;2;04/04/2025;Guabirá;Aurora;5;2;H;-0.9999999999999996;2.0;-2.9999999999999996;A
bolivia;Primera Div;2;06/04/2025;Indep Petrolero;GV San José;0;2;A;0.5;0.9999999999999998;-0.4999999999999998;D
bolivia;Primera Div;2;06/04/2025;The Strongest;Nacional Potosí;2;0;H;-0.9999999999999998;-0.4999999999999999;-0.4999999999999999;D
bolivia;Primera Div;2;05/04/2025;Real Tomayapo;Bolívar;2;1;H;-0.9999999999999998;0.9999999999999996;-1.9999999999999993;A
bolivia;Primera Div;3;11/04/2025;ABB;Real Tomayapo;0;0;D;0.6875000000000003;0.8125000000000006;-0.12500000000000022;D
bolivia;Primera Div;3;11/04/2025;Indep Petrolero;Real Oruro;0;0;D;-0.4374999999999998;-0.9374999999999988;0.499999999999999;D
bolivia;Primera Div;3;12/04/2025;FC Universitario;Blooming;1;2;A;0.6249999999999998;0.75;-0.12500000000000022;D
bolivia;Primera Div;3;12/04/2025;Bolívar;Wilstermann;5;1;H;0.4375000000000012;-2.0624999999999987;2.5;H
bolivia;Primera Div;3;13/04/2025;GV San José;The Strongest;0;4;A;2.187499999999999;-0.2500000000000009;2.4375;H
bolivia;Primera Div;3;13/04/2025;Oriente Petrolero;Always Ready;1;2;A;-1.6249999999999996;0.7499999999999993;-2.374999999999999;A
bolivia;Primera Div;3;12/04/2025;Aurora;San Antonio Bulo Bulo;2;0;H;0.1249999999999993;-0.6874999999999998;0.8124999999999991;D
bolivia;Primera Div;3;14/04/2025;Nacional Potosí;Guabirá;3;0;H;-1.250000000000001;0.875000000000001;-2.125000000000002;A
bolivia;Primera Div;4;18/04/2025;San Antonio Bulo Bulo;Nacional Potosí;2;2;D;-2.186170212765958;2.245440729483277;-4.431610942249235;A
bolivia;Primera Div;4;18/04/2025;The Strongest;Aurora;3;2;H;3.0904255319148923;0.5524316109422496;2.5379939209726428;H
bolivia;Primera Div;4;19/04/2025;Always Ready;GV San José;2;0;H;2.8199088145896654;-0.1709726443769014;2.990881458966567;H
bolivia;Primera Div;4;18/04/2025;Real Tomayapo;FC Universitario;1;1;D;-0.9802431610942276;1.6800911854103333;-2.660334346504561;A
bolivia;Primera Div;4;20/04/2025;Guabirá;Bolívar;2;4;A;0.8259878419452874;-0.8928571428571416;1.718844984802429;H
bolivia;Primera Div;4;20/04/2025;Real Oruro;Oriente Petrolero;1;1;D;-2.464285714285717;0.0174772036474153;-2.4817629179331324;A
bolivia;Primera Div;4;20/04/2025;Wilstermann;ABB;0;1;A;-4.234042553191491;-0.8768996960486329;-3.3571428571428585;A
bolivia;Primera Div;4;19/04/2025;Blooming;Indep Petrolero;3;1;H;3.196808510638296;-2.623100303951372;5.8199088145896685;H
bolivia;Primera Div;5;25/04/2025;Aurora;Real Oruro;2;2;D;0.3829106770845797;-1.1247029348454531;1.507613611930033;H
bolivia;Primera Div;5;26/04/2025;GV San José;ABB;1;1;D;0.0705789030135677;-0.0892961489485751;0.1598750519621428;D
bolivia;Primera Div;5;26/04/2025;Oriente Petrolero;San Antonio Bulo Bulo;1;1;D;-0.971716031693318;-0.885661570594448;-0.08605446109886994;D
bolivia;Primera Div;5;25/04/2025;Guabirá;Real Tomayapo;1;0;H;-0.5139916627645285;0.0063692292163361;-0.5203608919808645;D
bolivia;Primera Div;5;27/04/2025;Nacional Potosí;Wilstermann;1;2;A;0.5169285090569445;-2.353189319570735;2.87011782862768;H
bolivia;Primera Div;5;27/04/2025;FC Universitario;Always Ready;0;7;A;0.2905728347914583;1.564355296196135;-1.2737824614046767;D
bolivia;Primera Div;5;27/04/2025;Bolívar;Blooming;5;1;H;0.7536213280089036;1.6416298044073463;-0.8880084763984427;D
bolivia;Primera Div;5;26/04/2025;Indep Petrolero;The Strongest;1;1;D;-1.1914208867488192;1.9030119733906092;-3.0944328601394284;A
bolivia;Primera Div;6;02/05/2025;San Antonio Bulo Bulo;Indep Petrolero;4;2;H;-0.8238585135273939;-0.5929027545043987;-0.23095575902299526;D
bolivia;Primera Div;6;03/05/2025;The Strongest;Guabirá;5;1;H;1.0297555459872674;-0.4956537945976892;1.5254093405849565;H
bolivia;Primera Div;6;04/05/2025;ABB;Bolívar;0;3;A;0.2480201428810753;1.8275135302272032;-1.5794933873461279;A
bolivia;Primera Div;6;04/05/2025;Wilstermann;Always Ready;2;7;A;-1.285803294629139;2.1366156656560724;-3.4224189602852113;A
bolivia;Primera Div;6;03/05/2025;Real Tomayapo;Aurora;0;0;D;-0.2602643946912684;0.0357174627304781;-0.2959818574217465;D
bolivia;Primera Div;6;05/05/2025;Real Oruro;FC Universitario;2;0;H;-0.5022179238125728;-0.9934466930326808;0.49122876922010805;D
bolivia;Primera Div;6;04/05/2025;Blooming;GV San José;5;1;H;0.6815070588666932;0.1122448410657485;0.5692622178009447;D
bolivia;Primera Div;7;10/05/2025;FC Universitario;ABB;2;0;H;-1.148532134524686;-0.0236490655078623;-1.1248830690168237;D
bolivia;Primera Div;7;10/05/2025;Guabirá;Real Oruro;3;1;H;-0.8589929726362759;-0.3138771106278941;-0.5451158620083818;D
