WEEK;DATE;HOME;AWAY;FTHG;FTAG;DIFF
1;29/03/2025;São Paulo;Sport Recife;0;0;0
1;29/03/2025;Juventude;Vitória;2;0;2
1;29/03/2025;Fortaleza;Fluminense;2;0;2
1;29/03/2025;Cruzeiro;Mirassol;2;1;1
1;29/03/2025;Grêmio;Atlético Mineiro;2;1;1
1;30/03/2025;Palmeiras;Botafogo (RJ);0;0;0
1;30/03/2025;Vasco da Gama;Santos;2;1;1
1;30/03/2025;Bahia;Corinthians;1;1;0
1;29/03/2025;Flamengo;Internacional;1;1;0
1;31/03/2025;RB Bragantino;Ceará;2;2;0
2;05/04/2025;Corinthians;Vasco da Gama;3;0;3
2;05/04/2025;Ceará;Grêmio;2;0;2
2;06/04/2025;Atlético Mineiro;São Paulo;0;0;0
2;06/04/2025;Fluminense;RB Bragantino;2;1;1
2;06/04/2025;Mirassol;Fortaleza;1;1;0
2;06/04/2025;Internacional;Cruzeiro;3;0;3
2;06/04/2025;Vitória;Flamengo;1;2;-1
2;06/04/2025;Sport Recife;Palmeiras;1;2;-1
2;06/04/2025;Santos;Bahia;2;2;0
2;05/04/2025;Botafogo (RJ);Juventude;2;0;2
3;12/04/2025;Juventude;Ceará;2;1;1
3;12/04/2025;RB Bragantino;Botafogo (RJ);1;0;1
3;12/04/2025;Palmeiras;Corinthians;2;0;2
3;13/04/2025;Bahia;Mirassol;1;1;0
3;13/04/2025;Grêmio;Flamengo;0;2;-2
3;13/04/2025;São Paulo;Cruzeiro;1;1;0
3;13/04/2025;Fluminense;Santos;1;0;1
3;13/04/2025;Fortaleza;Internacional;0;0;0
3;13/04/2025;Atlético Mineiro;Vitória;2;2;0
3;12/04/2025;Vasco da Gama;Sport Recife;3;1;2
4;16/04/2025;Botafogo (RJ);São Paulo;2;2;0
4;16/04/2025;Sport Recife;RB Bragantino;0;1;-1
4;16/04/2025;Mirassol;Grêmio;4;1;3
4;16/04/2025;Corinthians;Fluminense;0;2;-2
4;16/04/2025;Internacional;Palmeiras;0;1;-1
4;15/04/2025;Ceará;Vasco da Gama;2;1;1
4;16/04/2025;Vitória;Fortaleza;2;1;1
4;16/04/2025;Flamengo;Juventude;6;0;6
4;16/04/2025;Santos;Atlético Mineiro;2;0;2
4;17/04/2025;Cruzeiro;Bahia;3;0;3
5;19/04/2025;Corinthians;Sport Recife;2;1;1
5;19/04/2025;Vasco da Gama;Flamengo;0;0;0
5;20/04/2025;Juventude;Mirassol;2;2;0
5;20/04/2025;São Paulo;Santos;2;1;1
5;20/04/2025;Atlético Mineiro;Botafogo (RJ);1;0;1
5;20/04/2025;Fluminense;Vitória;1;1;0
5;20/04/2025;Fortaleza;Palmeiras;1;2;-1
5;20/04/2025;RB Bragantino;Cruzeiro;1;0;1
5;19/04/2025;Grêmio;Internacional;1;1;0
5;21/04/2025;Bahia;Ceará;1;0;1
6;26/04/2025;Internacional;Juventude;3;1;2
6;26/04/2025;Mirassol;Atlético Mineiro;2;2;0
6;26/04/2025;Ceará;São Paulo;1;1;0
6;26/04/2025;Sport Recife;Fortaleza;0;0;0
6;27/04/2025;Flamengo;Corinthians;4;0;4
6;27/04/2025;Vitória;Grêmio;1;1;0
6;27/04/2025;Cruzeiro;Vasco da Gama;1;0;1
6;27/04/2025;Palmeiras;Bahia;0;1;-1
6;27/04/2025;Santos;RB Bragantino;1;2;-1
6;26/04/2025;Botafogo (RJ);Fluminense;2;0;2
7;03/05/2025;Fluminense;Sport Recife;2;1;1
7;03/05/2025;Ceará;Vitória;1;0;1
7;03/05/2025;Corinthians;Internacional;4;2;2
7;02/05/2025;São Paulo;Fortaleza;0;0;0
7;04/05/2025;Grêmio;Santos;1;0;1
7;04/05/2025;Vasco da Gama;Palmeiras;0;1;-1
7;04/05/2025;Cruzeiro;Flamengo;2;1;1
7;03/05/2025;Bahia;Botafogo (RJ);1;0;1
7;05/05/2025;RB Bragantino;Mirassol;1;0;1
7;05/05/2025;Juventude;Atlético Mineiro;0;1;-1
8;10/05/2025;Fortaleza;Juventude;5;0;5
8;10/05/2025;Mirassol;Corinthians;2;1;1
8;10/05/2025;Vitória;Vasco da Gama;2;1;1
8;10/05/2025;Grêmio;RB Bragantino;1;1;0
8;11/05/2025;Sport Recife;Cruzeiro;0;4;-4
8;11/05/2025;Palmeiras;São Paulo;1;0;1
8;11/05/2025;Atlético Mineiro;Fluminense;3;2;1
8;11/05/2025;Botafogo (RJ);Internacional;4;0;4
8;10/05/2025;Flamengo;Bahia;1;0;1
8;12/05/2025;Santos;Ceará;0;0;0
