COUNTRY;LEAGUE;WEEK;DATE;HOME;AWAY;FTHG;FTAG;FTR;HOME_SCORE;AWAY_SCORE;DIFF_SCORE;DIFF_FTR
brasil;Série B;1;04/04/2025;Goiás;Amazonas;1;0;H;0.0;0.0;0.0;D
brasil;Série B;1;05/04/2025;CRB;Chapecoense;1;0;H;0.0;0.0;0.0;D
brasil;Série B;1;05/04/2025;Coritiba;Vila Nova;1;0;H;0.0;0.0;0.0;D
brasil;Série B;1;05/04/2025;América (MG);Botafogo (SP);1;0;H;0.0;0.0;0.0;D
brasil;Série B;1;04/04/2025;Criciúma;Operário;1;2;A;0.0;0.0;0.0;D
brasil;Série B;1;04/04/2025;Paysandu;Ath Paranaense;1;2;A;0.0;0.0;0.0;D
brasil;Série B;1;06/04/2025;Ferroviária;Remo;1;1;D;0.0;0.0;0.0;D
brasil;Série B;1;06/04/2025;Volta Redonda;Cuiabá;0;1;A;0.0;0.0;0.0;D
brasil;Série B;1;06/04/2025;Avaí;Novorizontino;1;1;D;0.0;0.0;0.0;D
brasil;Série B;1;07/04/2025;Atl Goianiense;Athletic;4;2;H;0.0;0.0;0.0;D
brasil;Série B;2;10/04/2025;Ath Paranaense;Criciúma;2;1;H;0.4999999999999998;-0.5;0.9999999999999998;D
brasil;Série B;2;10/04/2025;Cuiabá;Avaí;2;2;D;0.4999999999999999;0.0;0.4999999999999999;D
brasil;Série B;2;12/04/2025;Chapecoense;Coritiba;1;2;A;-0.4999999999999996;0.4999999999999998;-0.9999999999999993;D
brasil;Série B;2;12/04/2025;Vila Nova;Paysandu;1;0;H;-0.4999999999999998;-0.4999999999999999;1.1102230246251565e-16;D
brasil;Série B;2;12/04/2025;Amazonas;Ferroviária;0;0;D;-0.4999999999999998;1.1102230246251563e-16;-0.4999999999999999;D
brasil;Série B;2;12/04/2025;Novorizontino;Volta Redonda;1;0;H;-5.551115123125783e-17;-0.4999999999999999;0.49999999999999983;D
brasil;Série B;2;12/04/2025;Operário;Goiás;1;2;A;0.5;0.4999999999999999;1.1102230246251565e-16;D
brasil;Série B;2;13/04/2025;Remo;América (MG);2;0;H;-1.1102230246251563e-16;0.5;-0.5000000000000001;D
brasil;Série B;2;13/04/2025;Athletic;CRB;1;2;A;-1.0000000000000002;0.4999999999999998;-1.5;A
brasil;Série B;2;13/04/2025;Botafogo (SP);Atl Goianiense;1;1;D;-0.5000000000000001;1.0000000000000004;-1.5000000000000004;A
brasil;Série B;3;15/04/2025;Cuiabá;Ath Paranaense;2;1;H;0.2499999999999997;-0.0312499999999986;0.2812499999999983;D
brasil;Série B;3;16/04/2025;Paysandu;Chapecoense;0;2;A;-1.3437499999999996;-1.2812500000000002;-0.062499999999999334;D
brasil;Série B;3;16/04/2025;Avaí;Operário;1;0;H;0.2500000000000005;0.5937499999999992;-0.3437499999999987;D
brasil;Série B;3;17/04/2025;Goiás;Vila Nova;2;2;D;1.90625;-0.6562499999999984;2.5624999999999982;H
brasil;Série B;3;17/04/2025;Botafogo (SP);Remo;2;2;D;-0.5312500000000011;1.843749999999999;-2.375;A
brasil;Série B;3;17/04/2025;Criciúma;Athletic;4;0;H;-0.7187499999999989;-1.906250000000001;1.1875000000000022;D
brasil;Série B;3;17/04/2025;CRB;Volta Redonda;1;0;H;-0.5937499999999992;-0.7500000000000002;0.156250000000001;D
brasil;Série B;3;16/04/2025;Coritiba;Novorizontino;0;0;D;0.0312500000000016;0.2499999999999999;-0.21874999999999828;D
brasil;Série B;3;17/04/2025;Ferroviária;Atl Goianiense;2;0;H;1.5312500000000002;-0.2187500000000016;1.7500000000000018;H
brasil;Série B;3;17/04/2025;América (MG);Amazonas;3;1;H;0.1562499999999991;1.2187500000000002;-1.062500000000001;D
brasil;Série B;4;19/04/2025;Operário;Paysandu;0;0;D;0.0926174148764038;-1.3764466983742298;1.4690641132506337;D
brasil;Série B;4;20/04/2025;Vila Nova;Botafogo (SP);2;0;H;0.0060053375174224;-0.0328534704370182;0.038858807954440605;D
brasil;Série B;4;20/04/2025;Chapecoense;Athletic;1;0;H;-0.2275005428577431;-2.66005659729762;2.4325560544398765;H
brasil;Série B;4;20/04/2025;Ath Paranaense;CRB;2;0;H;0.0921551102176356;-0.1407273593297981;0.2328824695474337;D
brasil;Série B;4;20/04/2025;América (MG);Goiás;1;0;H;0.5325871549351022;0.5597902817957018;-0.027203126860599558;D
brasil;Série B;4;21/04/2025;Amazonas;Avaí;0;2;A;-0.4192519070067189;0.8764899869013707;-1.2957418939080896;D
brasil;Série B;4;21/04/2025;Novorizontino;Criciúma;1;1;D;0.7255124927327123;-0.1584280240678622;0.8839405168005745;D
brasil;Série B;4;22/04/2025;Atl Goianiense;Cuiabá;1;1;D;-0.6810144084951985;0.8113400530949908;-1.4923544615901894;D
brasil;Série B;4;22/04/2025;Volta Redonda;Ferroviária;0;0;D;-0.5346249378340314;0.6498668422490415;-1.1844917800830728;D
brasil;Série B;4;21/04/2025;Remo;Coritiba;1;0;H;1.0498668422490427;0.8346724291307974;0.21519441311824528;D
brasil;Série B;5;25/04/2025;Criciúma;Remo;1;1;D;0.1905871261594257;1.0523033939539004;-0.8617162677944747;D
brasil;Série B;5;24/04/2025;Novorizontino;Ath Paranaense;2;1;H;0.5477364805296313;0.6384490803322644;-0.09071259980263313;D
brasil;Série B;5;26/04/2025;Coritiba;Operário;2;0;H;0.6336377616488132;-0.1527779747354819;0.7864157363842952;D
brasil;Série B;5;26/04/2025;Avaí;América (MG);3;0;H;0.8248163189526053;0.5575459115028514;0.26727040744975394;D
brasil;Série B;5;25/04/2025;Vila Nova;Chapecoense;1;0;H;0.4158583912750497;-0.4813472191633224;0.8972056104383721;D
brasil;Série B;5;27/04/2025;Amazonas;Atl Goianiense;1;1;D;-0.7468699819667611;-0.4004631067104378;-0.34640687525632335;D
brasil;Série B;5;27/04/2025;Athletic;Volta Redonda;2;1;H;-2.2710590814887124;-0.4580952846423157;-1.8129637968463967;A
brasil;Série B;5;27/04/2025;Paysandu;CRB;1;1;D;-0.8949544305728727;-0.3930131262405235;-0.5019413043323493;D
brasil;Série B;5;27/04/2025;Cuiabá;Ferroviária;1;0;H;0.651176751983031;0.3617187551585974;0.2894579968244336;D
brasil;Série B;5;28/04/2025;Botafogo (SP);Goiás;0;1;A;-0.3436888524946591;0.2684390865189145;-0.6121279390135737;D
brasil;Série B;6;03/05/2025;Remo;Amazonas;1;0;H;0.7538911342549435;-0.7959361393703228;1.5498272736252663;H
brasil;Série B;6;03/05/2025;Volta Redonda;Paysandu;1;0;H;-0.9064327222213476;-0.7776602449145765;-0.1287724773067711;D
brasil;Série B;6;02/05/2025;Ferroviária;Coritiba;2;1;H;0.0567513772375711;0.920588306650974;-0.863836929413403;D
brasil;Série B;6;04/05/2025;Atl Goianiense;Novorizontino;1;0;H;-0.4775832401487828;0.868795410594169;-1.3463786507429518;D
brasil;Série B;6;04/05/2025;Ath Paranaense;Botafogo (SP);1;4;A;0.5643107369026924;-0.6238879895540272;1.1881987264567195;D
brasil;Série B;6;04/05/2025;Chapecoense;Criciúma;2;1;H;-0.3098912164429304;0.4534676150418362;-0.7633588314847666;D
