;WEEK2;WEEK3;WEEK4;WEEK5;WEEK6;WEEK7;WEEK8;WEEK9
Amazonas;-0.4999999999999998;1.2187500000000002;-0.41925190700671894;-0.7468699819667611;-0.7959361393703228;-0.5373636201773662;-0.526307923899547;-0.5410116632621004
América (MG);0.5;0.1562499999999991;0.5325871549351022;0.5575459115028514;-0.03746363810163578;-0.0426736599003914;-0.2347285370943457;-0.2475329948064161
Ath Paranaense;0.4999999999999998;-0.031249999999998668;0.09215511021763567;0.6384490803322644;0.5643107369026924;-0.2536363678068773;-0.29611533271013846;-0.28762135893395213
Athletic;-1.0000000000000002;-1.9062500000000013;-2.6600565972976202;-2.2710590814887124;-1.7346613027305118;-1.4600648408499606;-0.8568825315964644;-0.8276375006424727
Atl Goianiense;1.0000000000000004;-0.21875000000000164;-0.6810144084951985;-0.4004631067104378;-0.4775832401487828;0.0510646315696493;0.13585687701014118;0.1040159365574536
Avaí;0.0;0.25000000000000056;0.8764899869013707;0.8248163189526053;1.3120431165966937;0.9445674108188505;0.8026796648733058;0.7233389012843985
Botafogo (SP);-0.5000000000000001;-0.5312500000000011;-0.03285347043701828;-0.34368885249465914;-0.6238879895540272;0.09877868789100648;-0.5099340733899569;-0.5052434878909973
CRB;0.4999999999999998;-0.5937499999999992;-0.1407273593297981;-0.3930131262405235;-0.4328669498813349;-0.358443635423153;-0.26816355995647184;-0.2621327029973726
Chapecoense;-0.49999999999999967;-1.2812500000000002;-0.22750054285774315;-0.4813472191633224;-0.3098912164429304;-0.13267794326113178;-0.07799746042087805;0.09595287495500747
Coritiba;0.49999999999999983;0.031250000000001645;0.8346724291307974;0.6336377616488132;0.920588306650974;0.604325021904217;0.47762680576301736;0.505076528220723
Criciúma;-0.5;-0.7187499999999989;-0.1584280240678622;0.19058712615942572;0.4534676150418362;0.004490384350503744;0.05242264172761779;0.07782391802374805
Cuiabá;0.4999999999999999;0.24999999999999975;0.8113400530949908;0.651176751983031;0.7098178536733647;0.5072786549644793;0.32322927788295913;0.15452547654964402
Ferroviária;1.1102230246251565e-16;1.5312500000000002;0.6498668422490415;0.3617187551585974;0.056751377237571135;0.4351244948147387;0.4267883555253129;0.4395808874999787
Goiás;0.49999999999999994;1.9062500000000002;0.5597902817957018;0.2684390865189145;0.16657168756454077;0.6272885168191671;0.608442225638365;0.5992031352349598
Novorizontino;-5.551115123125783e-17;0.24999999999999997;0.7255124927327123;0.5477364805296313;0.868795410594169;0.2626344127750019;0.29142536967537713;0.28455894236372076
Operário;0.5;0.5937499999999992;0.09261741487640386;-0.15277797473548194;-0.18499790381210826;-0.14975983956779143;0.020840364900185093;-0.0066285098620504634
Paysandu;-0.49999999999999994;-1.3437499999999996;-1.3764466983742298;-0.8949544305728727;-0.7776602449145765;-1.0365567113990977;-0.8837895244896228;-0.8588345335414198
Remo;-1.1102230246251565e-16;1.8437499999999987;1.0498668422490427;1.0523033939539004;0.7538911342549435;0.7604468848137858;0.8449695067068562;0.8564451943922997
Vila Nova;-0.49999999999999983;-0.6562499999999984;0.006005337517422493;0.4158583912750497;0.4751441086607967;0.4501821218507001;0.22891927831590192;0.2664231729611569
Volta Redonda;-0.4999999999999999;-0.7500000000000002;-0.5346249378340314;-0.4580952846423157;-0.9064327222213476;-0.7750046041863327;-0.5592814244616136;-0.5703022161063105
