COUNTRY;LEAGUE;WEEK;DATE;HOME;AWAY;FTHG;FTAG;FTR;HOME_SCORE;AWAY_SCORE;DIFF_SCORE;DIFF_FTR
chile;Primera Div;1;15/02/2025;Palestino;Cobresal;2;1;H;0.0;0.0;0.0;D
chile;Primera Div;1;15/02/2025;O'Higgins;Huachipato;0;0;D;0.0;0.0;0.0;D
chile;Primera Div;1;15/02/2025;U de Chile;Ñublense;5;0;H;0.0;0.0;0.0;D
chile;Primera Div;1;14/02/2025;Iquique;Coquimbo Unido;0;3;A;0.0;0.0;0.0;D
chile;Primera Div;1;16/02/2025;La Serena;Colo-Colo;1;3;A;0.0;0.0;0.0;D
chile;Primera Div;1;16/02/2025;CD Limache;Everton;1;1;D;0.0;0.0;0.0;D
chile;Primera Div;1;17/02/2025;Univ Católica;Audax Italiano;3;1;H;0.0;0.0;0.0;D
chile;Primera Div;1;17/02/2025;La Calera;Unión Española;4;0;H;0.0;0.0;0.0;D
chile;Primera Div;2;21/02/2025;Audax Italiano;Iquique;4;2;H;-1.0;-1.5;0.5;D
chile;Primera Div;2;21/02/2025;Unión Española;Palestino;0;3;A;-2.0;0.5000000000000001;-2.5;A
chile;Primera Div;2;22/02/2025;Coquimbo Unido;Univ Católica;1;0;H;1.5;1.0000000000000002;0.4999999999999998;D
chile;Primera Div;2;22/02/2025;Ñublense;CD Limache;1;1;D;-2.5;0.0;-2.5;A
chile;Primera Div;2;23/02/2025;Huachipato;Everton;4;0;H;0.0;0.0;0.0;D
chile;Primera Div;2;23/02/2025;Cobresal;La Serena;3;1;H;-0.5;-1.0000000000000002;0.5000000000000002;D
chile;Primera Div;2;23/02/2025;U de Chile;La Calera;1;0;H;2.5;2.0;0.5;D
chile;Primera Div;2;24/02/2025;Colo-Colo;O'Higgins;0;1;A;1.0;0.0;1.0;D
chile;Primera Div;3;28/02/2025;CD Limache;Coquimbo Unido;1;2;A;-2.208333333333336;1.4999999999999996;-3.7083333333333357;A
chile;Primera Div;3;01/03/2025;La Serena;Unión Española;1;0;H;-1.6249999999999885;-1.8750000000000016;0.2500000000000131;D
chile;Primera Div;3;01/03/2025;Univ Católica;Iquique;1;0;H;0.9999999999999948;-1.999999999999995;2.99999999999999;H
chile;Primera Div;3;01/03/2025;Palestino;Audax Italiano;0;2;A;1.2083333333333268;-0.4999999999999995;1.7083333333333264;H
chile;Primera Div;3;01/03/2025;Everton;Ñublense;1;2;A;-2.291666666666658;-2.125000000000015;-0.16666666666664298;D
