DATE;HOME;AWAY;FTHG;FTAG;DIFF
15/02/2025;O'Higgins;Huachipato;0;0;0
15/02/2025;Palestino;Cobresal;2;1;1
15/02/2025;U de Chile;Ñublense;5;0;5
14/02/2025;Iquique;Coquimbo Unido;0;3;-3
16/02/2025;La Serena;Colo-Colo;1;3;-2
16/02/2025;CD Limache;Everton;1;1;0
17/02/2025;Univ Católica;Audax Italiano;3;1;2
17/02/2025;La Calera;Unión Española;4;0;4
21/02/2025;Unión Española;Palestino;0;3;-3
21/02/2025;Audax Italiano;Iquique;4;2;2
22/02/2025;Coquimbo Unido;Univ Católica;1;0;1
22/02/2025;Ñublense;CD Limache;1;1;0
23/02/2025;Huachipato;Everton;4;0;4
23/02/2025;Cobresal;La Serena;3;1;2
23/02/2025;U de Chile;La Calera;1;0;1
24/02/2025;Colo-Colo;O'Higgins;0;1;-1
28/02/2025;CD Limache;Coquimbo Unido;1;2;-1
01/03/2025;La Serena;Unión Española;1;0;1
01/03/2025;Palestino;Audax Italiano;0;2;-2
01/03/2025;Univ Católica;Iquique;1;0;1
01/03/2025;Everton;Ñublense;1;2;-1
02/03/2025;Huachipato;Colo-Colo;2;1;1
02/03/2025;Cobresal;U de Chile;2;1;1
02/03/2025;La Calera;O'Higgins;2;2;0
07/03/2025;La Calera;Huachipato;1;0;1
08/03/2025;Ñublense;Univ Católica;1;1;0
08/03/2025;Audax Italiano;CD Limache;3;1;2
08/03/2025;Iquique;Palestino;1;3;-2
09/03/2025;Coquimbo Unido;Cobresal;1;1;0
09/03/2025;O'Higgins;La Serena;1;1;0
09/03/2025;Colo-Colo;Everton;2;0;2
14/03/2025;Audax Italiano;U de Chile;1;1;0
14/03/2025;CD Limache;Huachipato;2;3;-1
15/03/2025;Everton;Coquimbo Unido;0;0;0
16/03/2025;La Serena;La Calera;1;0;1
16/03/2025;Cobresal;O'Higgins;0;0;0
16/03/2025;Palestino;Ñublense;2;0;2
16/03/2025;Iquique;Unión Española;0;4;-4
27/03/2025;Colo-Colo;Palestino;1;1;0
27/03/2025;Everton;U de Chile;2;0;2
28/03/2025;Unión Española;Univ Católica;1;2;-1
28/03/2025;Ñublense;Iquique;1;1;0
29/03/2025;O'Higgins;CD Limache;3;1;2
30/03/2025;Huachipato;La Serena;3;1;2
30/03/2025;Coquimbo Unido;Audax Italiano;2;1;1
30/03/2025;La Calera;Cobresal;2;1;1
