DATE;HOME;AWAY;FTHG;FTAG;DIFF
20250124;Boyacá Chicó;CA Bucaramanga;1;0;1
20250125;CD América;Llaneros;4;3;1
20250126;Santa Fe;Pereira;2;1;1
20250126;Junior;AD Cali;0;0;0
20250125;Nacional;Once Caldas;4;0;4
20250127;Rionegro;La Equidad;1;1;0
20250126;Alianza;Independiente;1;1;0
20250127;Tolima;Pasto;2;0;2
20250128;Fortaleza FC;Envigado;0;0;0
20250201;Once Caldas;Fortaleza FC;2;1;1
20250201;Pasto;Millonarios;0;1;-1
20250131;Santa Fe;Tolima;0;0;0
20250202;La Equidad;Nacional;0;1;-1
20250202;AD Cali;Envigado;1;0;1
20250202;Independiente;Boyacá Chicó;3;0;3
20250201;Junior;Rionegro;2;2;0
20250203;Pereira;Alianza;0;0;0
20250202;CA Bucaramanga;CD América;0;4;-4
20250203;Llaneros;Unión Magdalena;2;0;2
20250207;Rionegro;Santa Fe;0;0;0
20250208;Boyacá Chicó;Llaneros;2;2;0
20250208;CD América;Pasto;1;1;0
20250208;Unión Magdalena;Junior;0;0;0
20250207;Tolima;Alianza;3;1;2
20250209;Envigado;Independiente;0;1;-1
20250209;Once Caldas;CA Bucaramanga;2;1;1
20250209;Fortaleza FC;AD Cali;1;0;1
20250208;Millonarios;La Equidad;2;1;1
20250209;Nacional;Pereira;3;0;3
20250212;Pasto;Boyacá Chicó;3;0;3
20250212;Independiente;Unión Magdalena;1;1;0
20250211;Llaneros;Millonarios;2;2;0
20250213;La Equidad;Envigado;2;3;-1
20250213;Junior;Once Caldas;2;0;2
20250212;Santa Fe;Nacional;2;2;0
20250213;Pereira;Tolima;0;0;0
20250215;CD América;Santa Fe;2;0;2
20250214;AD Cali;CA Bucaramanga;0;0;0
20250216;Unión Magdalena;La Equidad;0;0;0
20250215;Millonarios;Independiente;0;1;-1
20250217;Envigado;Pasto;0;1;-1
20250218;CA Bucaramanga;Alianza;0;0;0
20250218;Llaneros;AD Cali;0;1;-1
20250217;Fortaleza FC;Rionegro;2;1;1
20250218;Boyacá Chicó;Junior;0;2;-2
20250220;Unión Magdalena;Millonarios;1;3;-2
20250219;Once Caldas;Pereira;3;1;2
20250222;Rionegro;Once Caldas;0;1;-1
20250221;La Equidad;Boyacá Chicó;0;1;-1
20250223;Alianza;Nacional;3;2;1
20250223;AD Cali;Millonarios;3;1;2
20250222;Pereira;Fortaleza FC;2;0;2
20250223;Tolima;CD América;0;0;0
20250224;Junior;Envigado;1;2;-1
20250225;Pasto;Unión Magdalena;2;1;1
20250228;Envigado;Santa Fe;1;7;-6
20250227;Independiente;Llaneros;3;0;3
20250301;CA Bucaramanga;Junior;1;1;0
20250228;Boyacá Chicó;Rionegro;1;1;0
20250302;Once Caldas;Alianza;1;2;-1
20250302;Millonarios;Tolima;2;0;2
20250301;CD América;Pereira;2;0;2
20250303;Unión Magdalena;AD Cali;2;2;0
20250304;Llaneros;La Equidad;1;0;1
20250303;Independiente;Pasto;1;0;1
20250304;Fortaleza FC;Nacional;1;5;-4
20250308;Pereira;Envigado;2;0;2
20250308;Alianza;Unión Magdalena;1;0;1
20250308;Pasto;Llaneros;1;0;1
20250307;Rionegro;CA Bucaramanga;0;1;-1
20250309;Santa Fe;Fortaleza FC;2;0;2
20250309;Junior;Millonarios;2;1;1
20250308;La Equidad;Independiente;0;0;0
20250310;AD Cali;Boyacá Chicó;0;0;0
20250309;Nacional;CD América;1;0;1
20250310;Tolima;Once Caldas;2;0;2
20250314;CA Bucaramanga;Pereira;0;1;-1
20250315;Envigado;Nacional;0;0;0
20250315;Fortaleza FC;Tolima;1;1;0
20250315;CD América;Alianza;3;0;3
20250314;Pasto;La Equidad;2;1;1
20250316;Millonarios;Rionegro;1;0;1
20250316;Unión Magdalena;Boyacá Chicó;1;1;0
20250316;Independiente;AD Cali;0;0;0
20250315;Once Caldas;Santa Fe;0;1;-1
20250316;Llaneros;Junior;0;1;-1
20250319;Santa Fe;CA Bucaramanga;1;1;0
20250319;Nacional;Tolima;4;3;1
20250322;Boyacá Chicó;Pasto;0;0;0
20250322;La Equidad;Fortaleza FC;1;1;0
20250322;Pereira;Once Caldas;1;1;0
20250323;Alianza;CA Bucaramanga;1;2;-1
20250323;Nacional;Independiente;1;1;0
20250322;Santa Fe;Millonarios;3;2;1
20250324;Tolima;Llaneros;1;0;1
20250324;AD Cali;CD América;1;1;0
20250323;Rionegro;Envigado;1;0;1
20250326;Alianza;Fortaleza FC;0;0;0
20250326;Junior;Unión Magdalena;2;1;1
20250327;Once Caldas;Llaneros;1;0;1
20250326;Millonarios;Santa Fe;2;0;2
20250327;CD América;Boyacá Chicó;3;0;3
20250329;Pasto;AD Cali;1;1;0
20250328;CA Bucaramanga;Nacional;2;0;2
20250330;Millonarios;Alianza;2;0;2
20250330;Unión Magdalena;Santa Fe;0;1;-1
20250329;Independiente;Rionegro;0;0;0
20250330;CD América;Fortaleza FC;1;0;1
20250331;La Equidad;Junior;0;1;-1
