DATE;HOME;AWAY;FTHG;FTAG;DIFF
19/07/2024;AGF;Midtjylland;1;1;0
19/07/2024;Nordsjælland;Aalborg;3;0;3
21/07/2024;Silkeborg;SønderjyskE;1;0;1
21/07/2024;Vejle BK;Randers;2;3;-1
21/07/2024;Viborg;Brøndby;3;3;0
22/07/2024;Lyngby;FC Copenhagen;0;2;-2
26/07/2024;SønderjyskE;Lyngby;1;1;0
27/07/2024;Nordsjælland;Midtjylland;2;2;0
28/07/2024;Randers;Viborg;3;1;2
28/07/2024;Aalborg;Silkeborg;2;1;1
28/07/2024;FC Copenhagen;AGF;3;2;1
29/07/2024;Brøndby;Vejle BK;2;1;1
02/08/2024;AGF;SønderjyskE;4;0;4
03/08/2024;Midtjylland;Aalborg;2;0;2
04/08/2024;Silkeborg;Viborg;3;2;1
04/08/2024;FC Copenhagen;Randers;1;1;0
04/08/2024;Lyngby;Brøndby;0;2;-2
05/08/2024;Vejle BK;Nordsjælland;0;1;-1
09/08/2024;Midtjylland;Vejle BK;2;0;2
11/08/2024;Randers;Silkeborg;0;2;-2
11/08/2024;Nordsjælland;Lyngby;1;1;0
11/08/2024;Brøndby;AGF;0;1;-1
11/08/2024;SønderjyskE;FC Copenhagen;0;2;-2
12/08/2024;Viborg;Aalborg;2;3;-1
16/08/2024;Lyngby;Midtjylland;1;2;-1
18/08/2024;Randers;SønderjyskE;1;2;-1
18/08/2024;Silkeborg;Nordsjælland;4;1;3
18/08/2024;FC Copenhagen;Viborg;1;1;0
18/08/2024;Aalborg;Brøndby;0;4;-4
19/08/2024;AGF;Vejle BK;5;1;4
23/08/2024;Aalborg;AGF;0;4;-4
24/08/2024;Midtjylland;SønderjyskE;3;2;1
25/08/2024;Vejle BK;Silkeborg;1;3;-2
25/08/2024;Nordsjælland;FC Copenhagen;3;2;1
25/08/2024;Brøndby;Randers;2;2;0
26/08/2024;Viborg;Lyngby;1;0;1
30/08/2024;Lyngby;Vejle BK;1;0;1
31/08/2024;AGF;Nordsjælland;4;2;2
01/09/2024;FC Copenhagen;Brøndby;3;1;2
01/09/2024;SønderjyskE;Viborg;2;2;0
01/09/2024;Silkeborg;Midtjylland;1;3;-2
01/09/2024;Randers;Aalborg;1;0;1
13/09/2024;Aalborg;Lyngby;2;1;1
14/09/2024;Midtjylland;FC Copenhagen;2;1;1
15/09/2024;AGF;Silkeborg;1;1;0
15/09/2024;Vejle BK;Viborg;0;5;-5
15/09/2024;Brøndby;SønderjyskE;2;0;2
16/09/2024;Nordsjælland;Randers;1;1;0
20/09/2024;Viborg;Nordsjælland;3;2;1
22/09/2024;SønderjyskE;Vejle BK;2;1;1
22/09/2024;Randers;Midtjylland;2;2;0
22/09/2024;Lyngby;AGF;0;0;0
22/09/2024;Silkeborg;Brøndby;3;3;0
23/09/2024;FC Copenhagen;Aalborg;2;0;2
28/09/2024;AGF;Randers;2;2;0
29/09/2024;Midtjylland;Viborg;3;1;2
29/09/2024;Aalborg;SønderjyskE;3;0;3
29/09/2024;Lyngby;Silkeborg;2;2;0
29/09/2024;Vejle BK;FC Copenhagen;1;2;-1
30/09/2024;Nordsjælland;Brøndby;4;1;3
04/10/2024;Vejle BK;Aalborg;2;2;0
06/10/2024;Randers;Lyngby;1;1;0
06/10/2024;SønderjyskE;Nordsjælland;1;4;-3
06/10/2024;Viborg;AGF;1;1;0
06/10/2024;Brøndby;Midtjylland;2;0;2
06/10/2024;Silkeborg;FC Copenhagen;2;2;0
18/10/2024;FC Copenhagen;Vejle BK;3;1;2
20/10/2024;Aalborg;Randers;0;2;-2
20/10/2024;Lyngby;Viborg;0;0;0
20/10/2024;Nordsjælland;Silkeborg;1;1;0
20/10/2024;SønderjyskE;Midtjylland;3;2;1
21/10/2024;AGF;Brøndby;1;0;1
25/10/2024;Silkeborg;Aalborg;1;1;0
27/10/2024;Brøndby;FC Copenhagen;0;0;0
27/10/2024;Vejle BK;Lyngby;2;0;2
27/10/2024;Viborg;SønderjyskE;4;2;2
27/10/2024;Midtjylland;AGF;2;0;2
28/10/2024;Randers;Nordsjælland;4;0;4
02/11/2024;SønderjyskE;Randers;1;4;-3
03/11/2024;Midtjylland;Brøndby;1;5;-4
03/11/2024;Nordsjælland;Viborg;2;1;1
03/11/2024;AGF;Lyngby;2;1;1
03/11/2024;Aalborg;Vejle BK;3;3;0
04/11/2024;FC Copenhagen;Silkeborg;2;2;0
08/11/2024;Vejle BK;SønderjyskE;1;1;0
10/11/2024;Silkeborg;Randers;1;0;1
10/11/2024;Lyngby;Aalborg;2;2;0
10/11/2024;Viborg;Midtjylland;1;0;1
10/11/2024;AGF;FC Copenhagen;1;1;0
10/11/2024;Brøndby;Nordsjælland;1;1;0
22/11/2024;Nordsjælland;AGF;1;0;1
24/11/2024;Randers;Vejle BK;2;0;2
24/11/2024;Aalborg;Viborg;0;0;0
24/11/2024;SønderjyskE;Brøndby;2;2;0
24/11/2024;FC Copenhagen;Lyngby;2;1;1
25/11/2024;Midtjylland;Silkeborg;1;0;1
29/11/2024;Brøndby;Aalborg;1;0;1
01/12/2024;Viborg;Randers;1;2;-1
01/12/2024;Lyngby;SønderjyskE;0;2;-2
01/12/2024;Vejle BK;Midtjylland;0;3;-3
01/12/2024;Silkeborg;AGF;1;1;0
02/12/2024;FC Copenhagen;Nordsjælland;3;1;2
14/02/2025;Brøndby;Viborg;4;1;3
16/02/2025;Silkeborg;Vejle BK;0;1;-1
16/02/2025;SønderjyskE;AGF;1;4;-3
16/02/2025;Midtjylland;Lyngby;1;0;1
17/02/2025;Randers;FC Copenhagen;1;2;-1
21/02/2025;Lyngby;Randers;0;0;0
23/02/2025;Nordsjælland;SønderjyskE;3;2;1
23/02/2025;AGF;Aalborg;4;0;4
23/02/2025;Vejle BK;Brøndby;2;2;0
23/02/2025;FC Copenhagen;Midtjylland;1;0;1
24/02/2025;Viborg;Silkeborg;1;4;-3
26/02/2025;Aalborg;Nordsjælland;1;2;-1
28/02/2025;Randers;AGF;1;1;0
02/03/2025;SønderjyskE;Silkeborg;1;3;-2
02/03/2025;Viborg;Vejle BK;3;1;2
02/03/2025;Midtjylland;Nordsjælland;2;1;1
02/03/2025;Aalborg;FC Copenhagen;0;0;0
03/03/2025;Brøndby;Lyngby;1;1;0
07/03/2025;Nordsjælland;Vejle BK;3;1;2
09/03/2025;Silkeborg;Lyngby;0;1;-1
09/03/2025;Aalborg;Midtjylland;1;4;-3
09/03/2025;AGF;Viborg;1;1;0
09/03/2025;FC Copenhagen;SønderjyskE;1;1;0
10/03/2025;Randers;Brøndby;4;2;2
16/03/2025;Viborg;FC Copenhagen;3;2;1
16/03/2025;Vejle BK;AGF;3;2;1
16/03/2025;Lyngby;Nordsjælland;1;0;1
16/03/2025;Midtjylland;Randers;4;2;2
16/03/2025;SønderjyskE;Aalborg;0;3;-3
16/03/2025;Brøndby;Silkeborg;2;2;0
28/03/2025;Aalborg;Viborg;0;4;-4
