;WEEK2;WEEK3;WEEK4;WEEK5;WEEK6;WEEK7;WEEK8;WEEK9;WEEK10;WEEK11;WEEK12;WEEK13;WEEK14
Barcelona;0.5;0.7812499999999991;2.1439772941398156;0.7847089534242294;0.3737049383926181;0.555458745707356;0.5593866841255679;0.06874997649646297;0.12216728240375194;0.2584810094250474;0.35606230903009534;0.38033292387412926;0.36857931540900396
CS Emelec;-2.0;-2.9062500000000013;-2.113004051253063;-1.7313988831122036;-0.7118324911395552;-0.5998667712709798;-0.6767755190542295;-0.6225560541833711;-0.466732703698136;-0.633246156819539;-0.4128334734698493;-0.44813529362541626;-0.44721329710580376
Delfín;-0.9999999999999999;-1.343749999999998;-0.21347512719050177;-0.6408859582957106;-0.6181262233898608;-0.7555203462866888;-0.7328383950835604;-1.1549974413997546;-1.0360865842876477;-1.1058558811107468;-1.0097305538708214;-0.8414681836412294;-0.8307763771786313
Deportivo Cuenca;0.5000000000000001;3.4062499999999987;1.0428655549274548;0.11490660591041452;-0.03569161426791012;-0.13588725472373456;-0.5335133630622619;-0.37461121915996987;-0.5026230574643552;-0.30495982229554913;-0.15170780745946116;-0.25861687559247404;-0.13199232062271415
El Nacional;-0.5000000000000001;1.9687500000000024;-0.1482216883361605;-0.7121270104890752;-0.7772796517124595;-0.9558430978680096;-0.5225193482062583;-0.4905881542851093;-0.556679844810123;-0.42149348737140563;-0.3369349640140243;-0.17422702131470072;-0.17431114635392192
Independiente;-1.0000000000000002;-1.8437499999999984;-0.2981934237799148;1.437770036455406;1.0623123614954733;1.0028011488734379;1.3073882126494094;1.264340689134251;1.2608466736725787;1.248551372523632;0.988200405413587;0.9573999285079526;0.9565598062707584
LDU de Quito;-5.551115123125783e-17;-1.4062500000000009;0.6658729037120779;1.7087233601274412;0.9819369939990739;1.0236799431570336;1.0012491636618912;0.8513857652340298;1.01126934583375;0.8065013829102672;0.7049961161108603;0.7191230768514483;0.7316974447843221
Libertad;1.0;-0.28124999999999745;-0.04064678726210558;0.24193408743959222;0.3696866351500911;0.28851512597220413;-0.048023227439220495;-0.12580805540204826;0.016623636475892822;0.32666643979377913;0.16451442637001545;0.008503695080450568;0.007518250127676179
Macará;0.4999999999999999;0.4687499999999982;-0.605730638778972;-0.20804525263458057;0.33660199731506507;0.05704252686451673;0.1018123006211944;0.022424167825112473;-0.11666784856398293;-0.20380081253703983;-0.23958582728582783;-0.2559268276093205;-0.25583769619802826
Manta Fútbol Club;-0.5;-0.6562500000000036;-0.5185439042773694;-0.6094791466654028;-1.017106380963471;-0.8250469723134285;-0.7403657842377929;-0.7000739254310289;-0.6688651291895074;-0.4931198440748159;-0.657545651036925;-0.5072279148445825;-0.5073170531993888
Mushuc Runa;0.9999999999999998;0.21875000000000222;1.9911225739589213;1.068610836467324;0.6920623754225648;0.44854023172359897;0.20212586527208393;0.34951432436143876;0.2421631949260709;0.023254446649616012;0.1254917203183502;-0.030986601674170805;-0.03090410409517058
Orense;-0.4999999999999999;-0.09375000000000355;-1.4861338797814219;-0.8696125713010552;-1.3134622107281562;-1.0396981979854452;-0.7745724269357117;-0.4027625923464606;-0.46192241364209186;-0.3859361416861414;-0.49962043418283386;-0.38034708542902274;-0.3804953066796294
SD Aucas;1.4999999999999996;1.8437499999999987;0.2856957791596019;-0.13879148977618283;0.15519879319011884;0.13530461495947213;0.05802418770981771;0.2868389512523302;0.12165661327240171;0.2661049721237875;0.43449477080496;0.423634005876883;0.4245563880361549
Técnico Univ.;-1.4999999999999996;-0.7187499999999976;-0.9677242321462214;-1.3696492460316794;-1.2384302991415579;-0.8265367137249859;-0.631966566407503;-0.7489631634411623;-0.8187412739151572;-0.661937007361454;-0.5443131800161811;-0.5091567705859805;-0.6357800762575486
Univ Católica;2.0000000000000004;1.5312500000000013;0.48019361221028767;1.015713744830362;1.2496312426205092;0.9568059365800379;1.0127817429288732;0.8763340811132108;0.9207390650953773;0.6370700289484033;0.5083649946824437;0.49084322941401975;0.4793131733090027
Vinotinto;5.551115123125783e-17;-0.9687500000000026;-0.2180539853024316;-0.09237806634887932;0.4907935337574553;0.670251080335616;0.41780647345770006;0.9007726502320677;0.9328530438911764;0.6437195008821597;0.5701471486056128;0.426255714712014;0.42640299975391904
