WEEK;DATE;HOME;AWAY;FTHG;FTAG;DIFF
1;15/08/2024;Granada;Albacete;1;2;-1
1;16/08/2024;CD Mirandés;Córdoba;1;0;1
1;16/08/2024;Cádiz;Zaragoza;0;4;-4
1;17/08/2024;Eibar;Castellón;1;0;1
1;17/08/2024;Racing Ferrol;Málaga;2;2;0
1;17/08/2024;La Coruña;Oviedo;0;1;-1
1;18/08/2024;Racing Sant;Almería;2;2;0
1;18/08/2024;Sporting Gijón;Levante;1;2;-1
1;18/08/2024;Elche;Huesca;0;1;-1
1;18/08/2024;Burgos;Cartagena;3;1;2
1;19/08/2024;Eldense;Tenerife;2;1;1
2;23/08/2024;Racing Sant;Eibar;2;2;0
2;23/08/2024;Huesca;La Coruña;2;1;1
2;24/08/2024;Sporting Gijón;Eldense;0;0;0
2;24/08/2024;Racing Ferrol;Granada;0;1;-1
2;24/08/2024;Levante;Cádiz;1;1;0
2;24/08/2024;Tenerife;Almería;0;1;-1
2;24/08/2024;Málaga;CD Mirandés;1;1;0
2;25/08/2024;Albacete;Elche;1;0;1
2;25/08/2024;Castellón;Oviedo;0;0;0
2;26/08/2024;Cartagena;Zaragoza;1;2;-1
2;26/08/2024;Córdoba;Burgos;2;2;0
3;30/08/2024;Granada;Huesca;1;3;-2
3;30/08/2024;Oviedo;Racing Sant;1;3;-2
3;31/08/2024;Cádiz;Tenerife;2;2;0
3;31/08/2024;Almería;Sporting Gijón;1;1;0
3;31/08/2024;Málaga;Albacete;2;1;1
3;01/09/2024;La Coruña;Racing Ferrol;1;0;1
3;01/09/2024;Burgos;Castellón;0;2;-2
3;01/09/2024;Eldense;Cartagena;1;2;-1
3;01/09/2024;CD Mirandés;Zaragoza;0;0;0
3;02/09/2024;Eibar;Levante;2;2;0
3;02/09/2024;Elche;Córdoba;3;1;2
4;06/09/2024;Tenerife;Racing Sant;0;1;-1
4;07/09/2024;Granada;La Coruña;1;1;0
4;07/09/2024;Sporting Gijón;Oviedo;3;1;2
4;07/09/2024;Huesca;Burgos;0;1;-1
4;07/09/2024;Córdoba;Málaga;0;0;0
4;08/09/2024;Racing Ferrol;CD Mirandés;0;0;0
4;08/09/2024;Cartagena;Levante;0;1;-1
4;08/09/2024;Zaragoza;Elche;3;0;3
4;08/09/2024;Eldense;Almería;1;0;1
4;09/09/2024;Castellón;Cádiz;1;3;-2
4;09/09/2024;Albacete;Eibar;0;1;-1
5;13/09/2024;Córdoba;La Coruña;2;0;2
5;14/09/2024;Levante;Eldense;3;1;2
5;14/09/2024;Eibar;Tenerife;1;0;1
5;14/09/2024;Málaga;Huesca;1;0;1
5;14/09/2024;Racing Sant;Sporting Gijón;1;0;1
5;15/09/2024;CD Mirandés;Albacete;2;0;2
5;15/09/2024;Oviedo;Cartagena;1;0;1
5;15/09/2024;Cádiz;Racing Ferrol;0;0;0
5;15/09/2024;Burgos;Zaragoza;1;0;1
5;15/09/2024;Elche;Granada;2;2;0
5;16/09/2024;Almería;Castellón;2;5;-3
6;20/09/2024;Granada;Málaga;2;2;0
6;21/09/2024;Racing Ferrol;Albacete;1;4;-3
6;21/09/2024;La Coruña;Burgos;0;2;-2
6;21/09/2024;Eldense;Oviedo;1;1;0
6;21/09/2024;Zaragoza;Levante;2;1;1
