;WEEK2;WEEK3;WEEK4;WEEK5;WEEK6;WEEK7;WEEK8;WEEK9;WEEK10;WEEK11;WEEK12;WEEK13;WEEK14;WEEK15;WEEK16;WEEK17;WEEK18;WEEK19;WEEK20;WEEK21;WEEK22;WEEK23;WEEK24;WEEK25;WEEK26;WEEK27;WEEK28;WEEK29;WEEK30;WEEK31;WEEK32;WEEK33;WEEK34;WEEK35;WEEK36;WEEK37;WEEK38;WEEK39;WEEK40
Albacete;0.4999999999999998;1.8181818181818181;0.6592999913511763;-0.20996826855087566;-0.2761288323433309;0.07665589753670018;-0.5664556680022526;-0.6590431016458109;-0.41943448468584615;0.07486758032354804;-0.2527821597994511;-0.15304677540494557;-0.10369789032653338;-0.07198613020149755;-0.2167047673571015;-0.1771709654902707;-0.08749449857318316;-0.07076720446272222;-0.12886013091197557;-0.09545454545454538;-0.1363636363636363;-0.12121212121212128;-0.10871667350686615;-0.04463137186267421;-0.14443840338788128;-0.10265119186578656;-0.13386728222315317;-0.1779591294317694;-0.07080869404806239;-0.10439979468208464;-0.039723117808155864;0.02565156208051271;0.07062611956462563;0.06288113375822972;0.01479768240180136;0.026854652937369678;0.05144150191251212;-0.04753958074409008;-0.015293183331178921
Almería;0.0;-0.818181818181819;-0.1353006377371032;0.26407911760397257;-0.6509065091168627;-0.38606917649198635;-0.4746787455385901;0.05290771397155414;-0.12556451313632927;-0.21054216320659044;0.10103936207782127;0.060686018916422606;0.3526599732303958;0.40261169410481434;0.4126776985847078;0.37807547847554385;0.43417621271319967;0.40769063626483526;0.44201498729358485;0.5386363636363642;0.4999999999999998;0.5946969696969702;0.5911430897432528;0.5288304601493496;0.5137085681979563;0.428074889947737;0.42985586184803215;0.42056764163713967;0.41553947217657883;0.3620426376856505;0.44111591686380686;0.36160465873021286;0.3953546867760422;0.33548695514817134;0.32565858920766644;0.23611057375785338;0.228782334839043;0.34081991986567456;0.30747541726523725
Burgos;1.0;1.5454545454545456;-0.29582853475234827;0.039889725887217245;0.7247471012020624;0.7251328632785373;0.6449450176001033;0.2449809580922528;0.09217885224104302;-0.013486423968459652;-0.14702924693156566;-0.18165334148275747;-0.31914176658632226;-0.3845607175221269;-0.46277731645054376;-0.36712619070647634;-0.41821936925934466;-0.34925051691115017;-0.34457811338918987;-0.34318181818181837;-0.31818181818181795;-0.28977272727272735;-0.31782200877870803;-0.2980528497901629;-0.34911982540047176;-0.2834963640589538;-0.24067436107956158;-0.25922081896817295;-0.28868525092099884;-0.25525383972565346;-0.25346367833216643;-0.17611434212376065;-0.18028778087742003;-0.13703216846556476;-0.14382659030142464;-0.1397066909310331;-0.15156306161080546;-0.16126574373599536;-0.13402383829397313
CD Mirandés;0.4999999999999999;1.6363636363636351;0.6825528147376007;0.2483983968250042;0.7981981670977081;0.34279855128282083;0.3246933071365012;-0.030689894711448017;0.1912652809987394;0.5056364766741398;0.09746168037238649;0.19591455653869044;0.006631895993591899;-0.03536797681958007;0.10968559056643579;0.1644906043710076;0.23720418292572548;0.31695890265745597;0.2818511750672554;0.2727272727272724;0.45454545454545486;0.41098484848484784;0.4385114923795915;0.3421179449551267;0.4648348705084735;0.4673217772837963;0.5273765861517117;0.4888565916990623;0.5051897586447364;0.5294158552978389;0.5017614257027563;0.5273638040706229;0.485598999423616;0.4424227820399633;0.4328898097045494;0.36942692979583913;0.3840363693720138;0.39157499050465844;0.4086144842496304
Cartagena;-1.0000000000000002;1.1102230246251565e-15;-0.7265628200634526;0.03620844096426712;-0.3846127210506608;-0.5117840442465578;-0.1427338834628068;-0.42637134619068856;-0.670528772069127;-0.911304416719278;-0.7606178913189737;-0.8546952803352171;-1.103051332161438;-1.1154084615217101;-0.9540076674765138;-0.9237956623583716;-0.9440409823426367;-0.81942087460587;-0.9084455941156749;-0.9954545454545446;-0.954545454545455;-0.9412878787878795;-0.9449178492699973;-1.0450478136347392;-1.049514413668666;-1.1234436634064964;-1.1167956394181147;-1.0941948186598482;-1.1281850199119154;-1.1752665939739757;-1.1780919451075587;-1.137866522982599;-1.107607780545604;-1.112493769348968;-1.1004156870286022;-1.0893962437442686;-1.1127578754108274;-1.049034495154504;-1.0513413404451415
Castellón;-0.4999999999999999;-0.4545454545454556;0.5526497271067833;-0.22013476942829086;0.44188241907226844;0.3571450802001578;0.2992881647576049;0.5223315222416316;0.3664245844576414;0.3270425242877451;0.38459530344177056;0.42592883851880664;0.3989670432882254;0.33325550021347444;0.19130324208767172;0.16117349385375074;0.2531458119417505;0.2261447960789031;0.3283335871275564;0.11818181818181786;0.045454545454545685;-0.07386363636363555;-0.12237797975178533;-0.15155986096866964;-0.15781137987669056;-0.11170111997950125;-0.04313448330265355;-0.03799786893927788;-0.010454882868939907;-0.05659431631686226;-0.04954561912720877;-0.061614045644021356;-0.09081648558604213;-0.08252026604143524;-0.0707480929690104;0.02201784438424411;-0.007564499586148271;0.02310203608456328;0.00812634911977369
Cádiz;-1.9999999999999998;-2.0909090909090886;-1.5356126782682311;0.03648702430256043;-0.12489334992268475;-0.09758187056857315;-0.23965656030451396;-0.37419618054713555;-0.4503887432184065;-0.5429932752301156;-0.5239037398241352;-0.3267631784259706;-0.41042162247795605;-0.3922398871532959;-0.26092479733149165;-0.2517680588492179;-0.35007683487977137;-0.3677722586784718;-0.30487184369521975;-0.3113636363636371;-0.2727272727272725;-0.24242424242424276;-0.12677621718166895;-0.02535595519820128;-0.018655618590040498;0.05068363580423939;0.10034492561847407;0.09749578970339093;-0.005875963198215974;0.05661146685199565;0.09255452061502568;0.047245388215921204;0.0430589856740938;0.020127016437503694;0.0056868659855401115;0.002608735582507843;0.030744226741101034;-0.02387267645317477;0.009890579600210109
Córdoba;-0.49999999999999983;1.090909090909092;-0.7135725113003735;-0.8434670629836702;-0.1055871413940958;-0.55465618485925;-0.3750649312071266;-0.5676162086322629;-0.5425440147788416;-0.19586630486053094;-0.43703457902998777;-0.23673165855004175;-0.5302099046607455;-0.4650852445096269;-0.5872882285133488;-0.48974252674135255;-0.5422928019485143;-0.39433838950895794;-0.3578786053531116;-0.2977272727272735;-0.2272727272727273;-0.32196969696969646;-0.27213478708369043;-0.2876431480623592;-0.2784565332936255;-0.2906923324147845;-0.26679777103149194;-0.25542226741469537;-0.07054507401409003;-0.06851515650947779;-0.05956747309853949;-0.06479183570237047;-0.07560891812880954;-0.04835736271525098;-0.03084923489899626;-0.02164170201017372;-0.03233633344905794;0.02211291901792154;-0.009327931054946231
Eibar;0.4999999999999999;0.0909090909090893;0.7700482058238431;0.7776977648393927;0.7384793842380829;0.6460731694750604;0.28549430128753983;0.2994239138269092;0.32327415317098335;0.06676832030558665;0.193336840850521;0.0685366213726781;-0.030039010950686344;-0.10216239749114997;0.005945679902421485;-0.0865649210487535;-0.07659884953106792;-0.12493346659766856;-0.046994670393617786;-0.11363636363636312;-0.09090909090909081;-0.018939393939393843;-0.02736691544581813;-0.07626545597655064;-0.11889736266723629;-0.10086430955531431;-0.1713309901031512;-0.15392224316806316;-0.1145594637387317;-0.0667958238523564;-0.08981172393951051;-0.049075247372259614;-0.04230060905923349;-0.04234265895175704;-0.04335825250224768;-0.04560711369847855;-0.05354203190154808;-0.06728642674145813;-0.010876127665665631
Elche;-0.4999999999999998;0.36363636363636265;0.4725581861136239;-0.47632255227067144;-0.5061172667831748;-0.09715597758668036;0.17767075194141282;-0.2529121169336707;-0.16234373533491844;0.24291438144825686;0.020859198364602115;0.11761567799268166;0.20710708856991358;0.15766825538142554;0.17633716230243837;0.433283233596665;0.3729206829552046;0.4012995978355228;0.36383749555860045;0.5181818181818183;0.5909090909090909;0.6174242424242405;0.5984535125197049;0.6500030293036259;0.5276762750843592;0.5575967905167458;0.5504886635739304;0.5274164207953115;0.45577890862604065;0.5038844172271094;0.492082251679388;0.525924165215139;0.5393259451260932;0.5225756574791001;0.5364880048014461;0.5231074145968333;0.5191405038043834;0.5249231533942502;0.47891418106522887
