WEEK;DATE;HOME;AWAY;FTHG;FTAG;DIFF
1;16/08/2024;Le Havre;Paris S-G;1;4;-3
1;17/08/2024;Brest;Marseille;1;5;-4
1;17/08/2024;Reims;Lille;0;2;-2
1;17/08/2024;Monaco;Saint-Étienne;1;0;1
1;18/08/2024;Auxerre;Nice;2;1;1
1;18/08/2024;Montpellier;Strasbourg;1;1;0
1;18/08/2024;Angers;Lens;0;1;-1
1;18/08/2024;Toulouse;Nantes;0;0;0
1;18/08/2024;Rennes;Lyon;3;0;3
2;23/08/2024;Paris S-G;Montpellier;6;0;6
2;24/08/2024;Lyon;Monaco;0;2;-2
2;24/08/2024;Lille;Angers;2;0;2
2;24/08/2024;Saint-Étienne;Le Havre;0;2;-2
2;25/08/2024;Lens;Brest;2;0;2
2;25/08/2024;Strasbourg;Rennes;3;1;2
2;25/08/2024;Nice;Toulouse;1;1;0
2;25/08/2024;Nantes;Auxerre;2;0;2
2;25/08/2024;Marseille;Reims;2;2;0
3;30/08/2024;Lyon;Strasbourg;4;3;1
3;31/08/2024;Brest;Saint-Étienne;4;0;4
3;31/08/2024;Montpellier;Nantes;1;3;-2
3;31/08/2024;Toulouse;Marseille;1;3;-2
3;01/09/2024;Monaco;Lens;1;1;0
3;01/09/2024;Angers;Nice;1;4;-3
3;01/09/2024;Reims;Rennes;2;1;1
3;01/09/2024;Le Havre;Auxerre;3;1;2
3;01/09/2024;Lille;Paris S-G;1;3;-2
4;13/09/2024;Saint-Étienne;Lille;1;0;1
4;14/09/2024;Marseille;Nice;2;0;2
4;14/09/2024;Auxerre;Monaco;0;3;-3
4;14/09/2024;Paris S-G;Brest;3;1;2
4;15/09/2024;Rennes;Montpellier;3;0;3
4;15/09/2024;Strasbourg;Angers;1;1;0
4;15/09/2024;Toulouse;Le Havre;2;0;2
4;15/09/2024;Nantes;Reims;1;2;-1
4;15/09/2024;Lens;Lyon;0;0;0
5;20/09/2024;Nice;Saint-Étienne;8;0;8
5;21/09/2024;Lille;Strasbourg;3;3;0
5;21/09/2024;Rennes;Lens;1;1;0
5;21/09/2024;Reims;Paris S-G;1;1;0
5;22/09/2024;Monaco;Le Havre;3;1;2
5;22/09/2024;Angers;Nantes;1;1;0
5;22/09/2024;Brest;Toulouse;2;0;2
5;22/09/2024;Montpellier;Auxerre;3;2;1
5;22/09/2024;Lyon;Marseille;2;3;-1
6;27/09/2024;Auxerre;Brest;3;0;3
6;27/09/2024;Paris S-G;Rennes;3;1;2
6;28/09/2024;Lens;Nice;0;0;0
6;28/09/2024;Le Havre;Lille;0;3;-3
6;28/09/2024;Monaco;Montpellier;2;1;1
6;29/09/2024;Toulouse;Lyon;1;2;-1
6;29/09/2024;Angers;Reims;1;3;-2
6;29/09/2024;Nantes;Saint-Étienne;2;2;0
6;29/09/2024;Strasbourg;Marseille;1;0;1
7;04/10/2024;Marseille;Angers;1;1;0
7;05/10/2024;Saint-Étienne;Auxerre;3;1;2
7;05/10/2024;Lille;Toulouse;2;1;1
7;05/10/2024;Rennes;Monaco;1;2;-1
7;06/10/2024;Lyon;Nantes;2;0;2
7;06/10/2024;Brest;Le Havre;2;0;2
7;06/10/2024;Reims;Montpellier;4;2;2
7;06/10/2024;Strasbourg;Lens;2;2;0
7;06/10/2024;Nice;Paris S-G;1;1;0
8;18/10/2024;Monaco;Lille;0;0;0
8;19/10/2024;Brest;Rennes;1;1;0
8;19/10/2024;Saint-Étienne;Lens;0;2;-2
8;19/10/2024;Paris S-G;Strasbourg;4;2;2
8;20/10/2024;Le Havre;Lyon;0;4;-4
8;20/10/2024;Auxerre;Reims;2;1;1
8;20/10/2024;Nantes;Nice;1;1;0
8;20/10/2024;Toulouse;Angers;1;1;0
8;20/10/2024;Montpellier;Marseille;0;5;-5
9;25/10/2024;Rennes;Le Havre;1;0;1
9;26/10/2024;Angers;Saint-Étienne;4;2;2
9;26/10/2024;Reims;Brest;1;2;-1
9;26/10/2024;Lens;Lille;0;2;-2
9;27/10/2024;Lyon;Auxerre;2;2;0
9;27/10/2024;Nice;Monaco;2;1;1
9;27/10/2024;Strasbourg;Nantes;3;1;2
9;27/10/2024;Montpellier;Toulouse;0;3;-3
9;27/10/2024;Marseille;Paris S-G;0;3;-3
10;01/11/2024;Monaco;Angers;0;1;-1
10;01/11/2024;Lille;Lyon;1;1;0
10;02/11/2024;Paris S-G;Lens;1;0;1
10;02/11/2024;Brest;Nice;0;1;-1
10;02/11/2024;Saint-Étienne;Strasbourg;2;0;2
10;03/11/2024;Toulouse;Reims;1;0;1
10;03/11/2024;Le Havre;Montpellier;1;0;1
10;03/11/2024;Auxerre;Rennes;4;0;4
10;03/11/2024;Nantes;Marseille;1;2;-1
11;08/11/2024;Marseille;Auxerre;1;3;-2
11;09/11/2024;Strasbourg;Monaco;1;3;-2
11;09/11/2024;Lens;Nantes;3;2;1
11;09/11/2024;Angers;Paris S-G;2;4;-2
11;10/11/2024;Nice;Lille;2;2;0
11;10/11/2024;Montpellier;Brest;3;1;2
11;10/11/2024;Rennes;Toulouse;0;2;-2
11;10/11/2024;Le Havre;Reims;0;3;-3
11;10/11/2024;Lyon;Saint-Étienne;1;0;1
12;22/11/2024;Monaco;Brest;3;2;1
12;22/11/2024;Paris S-G;Toulouse;3;0;3
12;23/11/2024;Lens;Marseille;1;3;-2
12;23/11/2024;Saint-Étienne;Montpellier;1;0;1
12;23/11/2024;Reims;Lyon;1;1;0
12;24/11/2024;Lille;Rennes;1;0;1
12;24/11/2024;Nantes;Le Havre;0;2;-2
12;24/11/2024;Auxerre;Angers;1;0;1
12;24/11/2024;Nice;Strasbourg;2;1;1
13;29/11/2024;Reims;Lens;0;2;-2
13;30/11/2024;Rennes;Saint-Étienne;5;0;5
13;30/11/2024;Brest;Strasbourg;3;1;2
13;30/11/2024;Paris S-G;Nantes;1;1;0
13;01/12/2024;Montpellier;Lille;2;2;0
13;01/12/2024;Toulouse;Auxerre;2;0;2
13;01/12/2024;Lyon;Nice;4;1;3
13;01/12/2024;Le Havre;Angers;0;1;-1
13;01/12/2024;Marseille;Monaco;2;1;1
14;06/12/2024;Lille;Brest;3;1;2
14;06/12/2024;Auxerre;Paris S-G;0;0;0
14;07/12/2024;Monaco;Toulouse;2;0;2
14;07/12/2024;Nice;Le Havre;2;1;1
14;07/12/2024;Angers;Lyon;0;3;-3
14;08/12/2024;Lens;Montpellier;2;0;2
14;08/12/2024;Strasbourg;Reims;0;0;0
14;08/12/2024;Nantes;Rennes;1;0;1
14;08/12/2024;Saint-Étienne;Marseille;0;2;-2
15;13/12/2024;Toulouse;Saint-Étienne;2;1;1
15;14/12/2024;Marseille;Lille;1;1;0
15;14/12/2024;Auxerre;Lens;2;2;0
15;14/12/2024;Reims;Monaco;0;0;0
15;15/12/2024;Montpellier;Nice;2;2;0
15;15/12/2024;Le Havre;Strasbourg;0;3;-3
15;15/12/2024;Brest;Nantes;4;1;3
15;15/12/2024;Rennes;Angers;2;0;2
15;15/12/2024;Paris S-G;Lyon;3;1;2
16;18/12/2024;Monaco;Paris S-G;2;4;-2
16;03/01/2025;Nice;Rennes;3;2;1
16;04/01/2025;Saint-Étienne;Reims;3;1;2
16;04/01/2025;Lille;Nantes;1;1;0
16;04/01/2025;Lyon;Montpellier;1;0;1
16;05/01/2025;Lens;Toulouse;0;1;-1
16;05/01/2025;Strasbourg;Auxerre;3;1;2
16;05/01/2025;Angers;Brest;2;0;2
16;05/01/2025;Marseille;Le Havre;5;1;4
17;10/01/2025;Nantes;Monaco;2;2;0
17;10/01/2025;Auxerre;Lille;0;0;0
17;11/01/2025;Brest;Lyon;2;1;1
17;11/01/2025;Reims;Nice;2;4;-2
17;11/01/2025;Rennes;Marseille;1;2;-1
17;12/01/2025;Le Havre;Lens;1;2;-1
17;12/01/2025;Montpellier;Angers;1;3;-2
17;12/01/2025;Toulouse;Strasbourg;1;2;-1
17;12/01/2025;Paris S-G;Saint-Étienne;2;1;1
18;17/01/2025;Montpellier;Monaco;2;1;1
18;17/01/2025;Lille;Nice;2;1;1
18;18/01/2025;Lens;Paris S-G;1;2;-1
18;18/01/2025;Rennes;Brest;1;2;-1
18;18/01/2025;Lyon;Toulouse;0;0;0
18;19/01/2025;Saint-Étienne;Nantes;1;1;0
18;19/01/2025;Angers;Auxerre;2;0;2
18;19/01/2025;Reims;Le Havre;1;1;0
18;19/01/2025;Marseille;Strasbourg;1;1;0
19;24/01/2025;Auxerre;Saint-Étienne;1;1;0
19;25/01/2025;Monaco;Rennes;3;2;1
19;25/01/2025;Strasbourg;Lille;2;1;1
19;25/01/2025;Paris S-G;Reims;1;1;0
19;26/01/2025;Le Havre;Brest;0;1;-1
19;26/01/2025;Lens;Angers;1;0;1
19;26/01/2025;Toulouse;Montpellier;1;2;-1
19;26/01/2025;Nantes;Lyon;1;1;0
19;26/01/2025;Nice;Marseille;2;0;2
20;31/01/2025;Montpellier;Lens;0;2;-2
20;01/02/2025;Brest;Paris S-G;2;5;-3
20;01/02/2025;Monaco;Auxerre;4;2;2
20;01/02/2025;Lille;Saint-Étienne;4;1;3
20;02/02/2025;Toulouse;Nice;1;1;0
20;02/02/2025;Reims;Nantes;1;2;-1
20;02/02/2025;Rennes;Strasbourg;1;0;1
20;02/02/2025;Angers;Le Havre;1;1;0
20;02/02/2025;Marseille;Lyon;3;2;1
21;07/02/2025;Nantes;Brest;0;2;-2
21;07/02/2025;Paris S-G;Monaco;4;1;3
21;08/02/2025;Nice;Lens;2;0;2
21;08/02/2025;Lille;Le Havre;1;2;-1
21;08/02/2025;Saint-Étienne;Rennes;0;2;-2
21;09/02/2025;Lyon;Reims;4;0;4
21;09/02/2025;Auxerre;Toulouse;2;2;0
21;09/02/2025;Strasbourg;Montpellier;2;0;2
21;09/02/2025;Angers;Marseille;0;2;-2
22;14/02/2025;Brest;Auxerre;2;2;0
22;15/02/2025;Marseille;Saint-Étienne;5;1;4
22;15/02/2025;Monaco;Nantes;7;1;6
22;15/02/2025;Toulouse;Paris S-G;0;1;-1
22;16/02/2025;Montpellier;Lyon;1;4;-3
22;16/02/2025;Reims;Angers;0;1;-1
22;16/02/2025;Lens;Strasbourg;0;2;-2
22;16/02/2025;Le Havre;Nice;1;3;-2
22;16/02/2025;Rennes;Lille;0;2;-2
23;21/02/2025;Rennes;Reims;1;0;1
23;22/02/2025;Lille;Monaco;2;1;1
23;22/02/2025;Saint-Étienne;Angers;3;3;0
23;22/02/2025;Auxerre;Marseille;3;0;3
23;23/02/2025;Nantes;Lens;3;1;2
23;23/02/2025;Strasbourg;Brest;0;0;0
23;23/02/2025;Nice;Montpellier;2;0;2
23;23/02/2025;Le Havre;Toulouse;1;4;-3
23;23/02/2025;Lyon;Paris S-G;2;3;-1
24;28/02/2025;Monaco;Reims;3;0;3
24;01/03/2025;Saint-Étienne;Nice;1;3;-2
24;01/03/2025;Lens;Le Havre;3;4;-1
24;01/03/2025;Paris S-G;Lille;4;1;3
24;02/03/2025;Lyon;Brest;2;1;1
24;02/03/2025;Auxerre;Strasbourg;0;1;-1
24;02/03/2025;Montpellier;Rennes;0;4;-4
24;02/03/2025;Angers;Toulouse;0;4;-4
24;02/03/2025;Marseille;Nantes;2;0;2
25;07/03/2025;Toulouse;Monaco;1;1;0
25;08/03/2025;Rennes;Paris S-G;1;4;-3
25;08/03/2025;Lille;Montpellier;1;0;1
25;08/03/2025;Marseille;Lens;0;1;-1
25;09/03/2025;Brest;Angers;2;0;2
25;09/03/2025;Nantes;Strasbourg;0;1;-1
25;09/03/2025;Reims;Auxerre;0;2;-2
25;09/03/2025;Le Havre;Saint-Étienne;1;1;0
25;09/03/2025;Nice;Lyon;0;2;-2
26;14/03/2025;Nice;Auxerre;1;1;0
26;15/03/2025;Nantes;Lille;1;0;1
26;15/03/2025;Angers;Monaco;0;2;-2
26;15/03/2025;Lens;Rennes;1;0;1
26;16/03/2025;Lyon;Le Havre;4;2;2
26;16/03/2025;Montpellier;Saint-Étienne;0;2;-2
26;16/03/2025;Brest;Reims;0;0;0
26;16/03/2025;Strasbourg;Toulouse;2;1;1
26;16/03/2025;Paris S-G;Marseille;3;1;2
27;28/03/2025;Strasbourg;Lyon;4;2;2
27;29/03/2025;Reims;Marseille;3;1;2
27;29/03/2025;Saint-Étienne;Paris S-G;1;6;-5
27;29/03/2025;Monaco;Nice;2;1;1
27;30/03/2025;Toulouse;Brest;2;4;-2
27;30/03/2025;Angers;Rennes;0;3;-3
27;30/03/2025;Le Havre;Nantes;3;2;1
27;30/03/2025;Auxerre;Montpellier;1;0;1
27;30/03/2025;Lille;Lens;1;0;1
