COUNTRY;LEAGUE;WEEK;DATE;HOME;AWAY;FTHG;FTAG;FTR;HOME_SCORE;AWAY_SCORE;DIFF_SCORE;DIFF_FTR
frança;Ligue One;1;16/08/2024;Le Havre;Paris S-G;1;4;A;0.0;0.0;0.0;D
frança;Ligue One;1;17/08/2024;Brest;Marseille;1;5;A;0.0;0.0;0.0;D
frança;Ligue One;1;17/08/2024;Reims;Lille;0;2;A;0.0;0.0;0.0;D
frança;Ligue One;1;17/08/2024;Monaco;Saint-Étienne;1;0;H;0.0;0.0;0.0;D
frança;Ligue One;1;18/08/2024;Auxerre;Nice;2;1;H;0.0;0.0;0.0;D
frança;Ligue One;1;18/08/2024;Montpellier;Strasbourg;1;1;D;0.0;0.0;0.0;D
frança;Ligue One;1;18/08/2024;Angers;Lens;0;1;A;0.0;0.0;0.0;D
frança;Ligue One;1;18/08/2024;Toulouse;Nantes;0;0;D;0.0;0.0;0.0;D
frança;Ligue One;1;18/08/2024;Rennes;Lyon;3;0;H;0.0;0.0;0.0;D
frança;Ligue One;2;23/08/2024;Paris S-G;Montpellier;6;0;H;1.4999999999999998;-2.775557561562892e-17;1.4999999999999998;D
frança;Ligue One;2;24/08/2024;Lyon;Monaco;0;2;A;-1.5000000000000004;0.4999999999999998;-2.0;A
frança;Ligue One;2;24/08/2024;Lille;Angers;2;0;H;0.9999999999999998;-0.5;1.4999999999999998;D
frança;Ligue One;2;24/08/2024;Saint-Étienne;Le Havre;0;2;A;-0.5;-1.4999999999999996;0.9999999999999996;D
frança;Ligue One;2;25/08/2024;Lens;Brest;2;0;H;0.5000000000000001;-2.0;2.5;H
frança;Ligue One;2;25/08/2024;Strasbourg;Rennes;3;1;H;2.775557561562892e-17;1.5000000000000004;-1.5000000000000004;A
frança;Ligue One;2;25/08/2024;Nice;Toulouse;1;1;D;-0.5000000000000001;-1.1102230246251563e-16;-0.5;D
frança;Ligue One;2;25/08/2024;Nantes;Auxerre;2;0;H;1.1102230246251563e-16;0.5;-0.4999999999999999;D
frança;Ligue One;2;25/08/2024;Marseille;Reims;2;2;D;2.0;-0.9999999999999998;3.0;H
frança;Ligue One;3;30/08/2024;Lyon;Strasbourg;4;3;H;-3.4374999999999987;0.3124999999999986;-3.7499999999999973;A
frança;Ligue One;3;31/08/2024;Brest;Saint-Étienne;4;0;H;-2.583333333333335;-1.1875;-1.3958333333333348;D
frança;Ligue One;3;31/08/2024;Montpellier;Nantes;1;3;A;-0.3125000000000016;0.8749999999999993;-1.1875000000000009;D
frança;Ligue One;3;31/08/2024;Toulouse;Marseille;1;3;A;0.1249999999999995;0.9166666666666664;-0.791666666666667;D
frança;Ligue One;3;01/09/2024;Monaco;Lens;1;1;D;-0.8124999999999981;-0.0833333333333339;-0.7291666666666642;D
frança;Ligue One;3;01/09/2024;Angers;Nice;1;4;A;-0.5833333333333326;-0.6249999999999994;0.04166666666666685;D
frança;Ligue One;3;01/09/2024;Reims;Rennes;2;1;H;0.4166666666666678;-1.0624999999999991;1.479166666666667;D
frança;Ligue One;3;01/09/2024;Le Havre;Auxerre;3;1;H;1.4374999999999964;-0.3750000000000006;1.8124999999999971;H
frança;Ligue One;3;01/09/2024;Lille;Paris S-G;1;3;A;1.9166666666666656;5.062499999999996;-3.14583333333333;A
