;WEEK2;WEEK3;WEEK4;WEEK5;WEEK6;WEEK7;WEEK8;WEEK9;WEEK10;WEEK11;WEEK12;WEEK13;WEEK14;WEEK15;WEEK16;WEEK17;WEEK18;WEEK19;WEEK20;WEEK21;WEEK22;WEEK23;WEEK24;WEEK25;WEEK26;WEEK27;WEEK28;WEEK29;WEEK30;WEEK31;WEEK32;WEEK33;WEEK34;WEEK35;WEEK36;WEEK37;WEEK38;WEEK39;WEEK40
Blackburn;0.9999999999999996;-1.4583333333333335;0.8264741943324139;1.7273777418912704;1.6470987748799617;1.234128871930378;1.2505182003430833;0.6672318044904608;0.4337577608068992;0.47242904797107166;0.4492547800783581;0.30441770843427957;0.18631032553750732;0.016690914033351673;0.11130911735716106;0.22269798483939832;0.3003317043282752;0.40195034330671053;0.40537424012683476;0.41959458285009893;0.4653409090909086;0.40530303030303033;0.4166666666666668;0.34455128205128316;0.374427175905012;0.3541994809586355;0.29388623665608715;0.21889947627092915;0.18557947141212308;0.21161712469515656;0.164594905378468;0.2346895029754158;0.2614488289203147;0.16502994956995445;0.16750958943579422;0.12637938103136215;0.08823327942975344;0.05054899898309974;0.014667064651053807
Bristol City;0.0;0.29166666666666474;-0.30472668622517257;-0.6974830753397865;-0.9501268063383497;-0.6305536862081738;-0.4308315646834141;-0.4794097956186909;-0.6265774599145415;-0.2993807745985547;-0.2593852228069138;-0.15864430556353892;-0.021791557292382926;-0.012522866932857965;0.12886388230620077;0.10165484361455934;0.061310684779382035;0.2224335223659;-8.244705058640944e-06;0.020494508064691802;0.012500000000000622;-0.06249999999999964;-0.04166666666666703;0.05128205128205121;0.012541027868540985;0.04657085602823041;0.005998823428741695;0.002296540573656969;0.04211349031179221;0.034107729456683694;-0.008939128843444694;0.04825627938411037;0.028074305756094056;0.06002641027603954;0.10877974723154639;0.10430180332346882;0.11819589797246005;0.14655702204260854;0.14684454221860033
Burnley;1.4999999999999996;6.791666666666668;3.0313137339310727;2.135967260245657;1.8446909582547888;1.6313478025541464;1.3720598337908603;1.1609319304160233;0.9874053358498586;1.125426017306468;1.0169706129803116;0.8515062380805352;0.6848288680037583;0.6464814777467307;0.6606187469661309;0.6821962969968296;0.7406422339888548;0.7978643056866431;0.802895427536942;0.7577859784929606;0.7730691516017585;0.787878787878786;0.8749999999999996;0.8573717948717942;0.8148993114960172;0.8324665206314157;0.8220746778598378;0.9222135192464045;0.9270667019258925;0.8921036121436614;0.8825897639176791;0.91539811145111;0.8864055258466089;0.9656250965850932;0.9508044049860604;1.0115607354875706;0.9965480653361115;1.0121634765705076;1.0157123496500855
Cardiff City;-0.9999999999999996;2.5416666666666705;-0.24035102684820808;-1.0878107582474272;-1.2801518284722264;-1.2844641202924172;-1.6495402611502137;-1.332535249316995;-1.289046874045621;-0.6999572045354193;-0.522152644013214;-0.44504537031059804;-0.32762637188741817;-0.4114380832259744;-0.504764590572872;-0.4890917655418375;-0.6147705761286327;-0.5865114396290786;-0.544140889330708;-0.6247846639071473;-0.6041268995073324;-0.6231060606060608;-0.6666666666666667;-0.5977564102564109;-0.5818575247098021;-0.5464654782257923;-0.42317098803014397;-0.4051724625084733;-0.37079281988837226;-0.5435809558383914;-0.5001047019637911;-0.5356605612474292;-0.520553410434135;-0.5241554235946383;-0.5124658978785291;-0.509109446491859;-0.5401974173458238;-0.5002629807981575;-0.49004619664529553
Coventry City;-0.5;-0.7083333333333304;-0.22732429228607792;-0.37097817938555794;-0.1030038488379446;-0.359666239022656;-0.5618491764745083;0.0018530894039333245;-0.1664458630652773;-0.27982307856449784;-0.345759279186097;-0.30344216873165414;-0.03688002185840455;-0.0931470215384221;-0.041411757350945114;0.00916154045226433;-0.03778857044172892;-0.05455711012736896;-0.00668382937646303;-0.08892656809205998;-0.05259686862947558;-0.21780303030302875;-0.08333333333333302;-0.07532051282051218;-0.09723168689674418;-0.12264857941062511;-0.08131264671674687;-0.0029693894334558765;0.034936040975426914;0.08319932197966048;0.06035536435938276;0.07801343294683946;0.10560429358185762;0.12890284045068642;0.13878967098705233;0.15111372912081367;0.08648231722919814;0.1732109211854492;0.1351397955182886
Derby County;-0.9999999999999999;-2.7083333333333357;0.057786523898212094;0.8960051243134839;0.4350407348992351;0.24397626247076534;0.14801994729582285;-0.05639330457279655;0.11315468322370394;0.05178235114487581;0.08498640231047988;0.11660352505345035;0.020552322635614847;0.060304608802401675;0.014056622670900108;-0.012243007544008911;-0.06997876813039586;-0.1314670273333877;-0.1925512781928244;-0.15409358553062247;0.012500000000000136;-0.06250000000000028;5.809695225492605e-16;0.00641025641025645;-0.07543426857753181;-0.10991425362778535;-0.17787972854372125;-0.1841498159778985;-0.2236869386103512;-0.2283720859659917;-0.2136136003203456;-0.21619030265751613;-0.33320400769594655;-0.3575542904961021;-0.3690720884526219;-0.3304752668634553;-0.2688065222684621;-0.2611840792318995;-0.21100526940909944
Hull City;0.0;-0.4583333333333379;-1.0232736286744413;-1.113474249717999;-1.0751922039695454;-0.5670413537587531;-0.15573621373230695;0.13102245610692914;-0.21400840074401126;-0.1684930217267095;-0.06069706657485516;-0.02225724920827875;-0.07567904175043581;-0.16683432156747907;-0.19989259937529444;-0.30514829614533145;-0.4299801169924528;-0.4893787109931044;-0.49126735891038836;-0.46231353805258685;-0.49280303030303096;-0.42234848484848664;-0.4583333333333329;-0.38621794871794884;-0.3917777690592195;-0.33962355948332884;-0.2939106651231176;-0.3236805690093541;-0.19480170094868177;-0.22535917980898543;-0.26498887964463796;-0.2933184156441019;-0.2747881632373708;-0.2242396694301064;-0.19043943778731443;-0.1868276396597999;-0.16944516843063215;-0.15713723154739553;-0.19450827660605613
Leeds United;2.220446049250313e-16;1.541666666666669;0.9243769550693918;0.6240718813260377;0.6870749669416681;0.7365166781386807;0.9729404885971522;0.9409859448154675;0.9401652139262058;1.1532246599352407;1.0958906573823433;1.0044982658663717;1.1015701554963069;0.9454887473104583;0.9724807533979557;0.9751662994036894;1.0659199809322677;0.9711428012733562;1.0195868797837502;1.0969480252540926;1.0377652858631108;1.1458333333333335;1.1666666666666672;1.1602564102564095;1.1268843425895172;1.070543024735093;1.1310333427512378;1.1611320650302246;1.1612523376981008;1.3310818880331372;1.3518153740776102;1.4293143015695926;1.4329298324690047;1.4671525644664276;1.4369335648619401;1.3655105069865423;1.3763658486487544;1.3363797731996847;1.295691901230198
Luton Town;-1.5;3.0416666666666674;-0.9401768981379306;-1.3210939449773857;-0.9831162723858643;-0.7357230349415753;-0.9510619507476316;-0.9021417331526508;-0.9143623604392501;-0.5754398064422049;-0.5409174000104897;-0.5810107980066562;-0.5117085788317665;-0.42197627055393716;-0.6419874087802201;-0.5577599419956516;-0.6535848274294136;-0.7108050237392988;-0.6517558221802505;-0.5850474050182932;-0.6374999999999988;-0.5624999999999989;-0.5833333333333341;-0.5945512820512819;-0.6109280216554853;-0.6312430418722296;-0.6231992554463878;-0.6492435087420566;-0.6606724350209532;-0.6436323480935087;-0.6545707054320911;-0.6776758978029487;-0.6677726487696645;-0.7096980063047948;-0.6754637146670966;-0.7354426085774117;-0.7057980072570804;-0.6824806155744017;-0.6442476701777363
Middlesbrough;0.4999999999999999;-2.9583333333333375;0.009631475607617193;0.4163540116169924;-0.057315146692963226;0.09421985224713644;0.05027865967171744;0.34246522023330145;0.2650876769048453;0.015945621850450276;0.15622650737752045;0.20416478434190355;-0.0211511882835273;0.13175401150777594;0.3436327706959359;0.548932405764722;0.48061395532043255;0.5480083494058646;0.558752353960764;0.48542538790490436;0.5117878261900002;0.4393939393939398;0.4166666666666669;0.4342948717948719;0.43935082855526103;0.40542138825637963;0.3441092359636786;0.418210096411276;0.37113788322223795;0.3367138300185818;0.3780941063548386;0.32564565713345384;0.28752671149711445;0.2550117604869671;0.26776871887097475;0.23122109178684477;0.24764576963390986;0.22292555699453542;0.23327489673054114
