WEEK;DATE;HOME;AWAY;FTHG;FTAG;DIFF
1;09/08/2024;Blackburn;Derby County;4;2;2
1;09/08/2024;Preston;Sheffield Utd;0;2;-2
1;10/08/2024;Millwall;Watford;2;3;-1
1;10/08/2024;Cardiff City;Sunderland;0;2;-2
1;10/08/2024;QPR;West Brom;1;3;-2
1;10/08/2024;Middlesbrough;Swansea City;1;0;1
1;10/08/2024;Hull City;Bristol City;1;1;0
1;10/08/2024;Oxford United;Norwich City;2;0;2
1;10/08/2024;Leeds United;Portsmouth;3;3;0
1;10/08/2024;Stoke City;Coventry City;1;0;1
1;11/08/2024;Sheffield Weds;Plymouth Argyle;4;0;4
1;12/08/2024;Luton Town;Burnley;1;4;-3
2;16/08/2024;Coventry City;Oxford United;3;2;1
2;17/08/2024;Portsmouth;Luton Town;0;0;0
2;17/08/2024;West Brom;Leeds United;0;0;0
2;17/08/2024;Derby County;Middlesbrough;1;0;1
2;17/08/2024;Bristol City;Millwall;4;3;1
2;17/08/2024;Swansea City;Preston;3;0;3
2;17/08/2024;Burnley;Cardiff City;5;0;5
2;17/08/2024;Plymouth Argyle;Hull City;1;1;0
2;17/08/2024;Norwich City;Blackburn;2;2;0
2;17/08/2024;Sheffield Utd;QPR;2;2;0
2;17/08/2024;Watford;Stoke City;3;0;3
2;18/08/2024;Sunderland;Sheffield Weds;4;0;4
3;23/08/2024;Sheffield Weds;Leeds United;0;2;-2
3;24/08/2024;QPR;Plymouth Argyle;1;1;0
3;24/08/2024;Hull City;Millwall;0;0;0
3;24/08/2024;Bristol City;Coventry City;1;1;0
3;24/08/2024;Sunderland;Burnley;1;0;1
3;24/08/2024;Preston;Luton Town;1;0;1
3;24/08/2024;Watford;Derby County;2;1;1
3;24/08/2024;Blackburn;Oxford United;2;1;1
3;24/08/2024;Stoke City;West Brom;1;2;-1
3;24/08/2024;Middlesbrough;Portsmouth;2;2;0
3;24/08/2024;Norwich City;Sheffield Utd;1;1;0
3;25/08/2024;Swansea City;Cardiff City;1;1;0
4;30/08/2024;Luton Town;QPR;1;2;-1
4;31/08/2024;Cardiff City;Middlesbrough;0;2;-2
4;31/08/2024;Burnley;Blackburn;1;1;0
4;31/08/2024;Coventry City;Norwich City;0;1;-1
4;31/08/2024;Portsmouth;Sunderland;1;3;-2
4;31/08/2024;Derby County;Bristol City;3;0;3
4;31/08/2024;Leeds United;Hull City;2;0;2
4;31/08/2024;Oxford United;Preston;3;1;2
4;31/08/2024;West Brom;Swansea City;1;0;1
4;31/08/2024;Millwall;Sheffield Weds;3;0;3
4;31/08/2024;Plymouth Argyle;Stoke City;0;1;-1
4;01/09/2024;Sheffield Utd;Watford;1;0;1
5;13/09/2024;Hull City;Sheffield Utd;0;2;-2
5;14/09/2024;Oxford United;Stoke City;1;0;1
5;14/09/2024;Leeds United;Burnley;0;1;-1
5;14/09/2024;Millwall;Luton Town;0;1;-1
