COUNTRY;LEAGUE;WEEK;DATE;HOME;AWAY;FTHG;FTAG;FTR;HOME_SCORE;AWAY_SCORE;DIFF_SCORE;DIFF_FTR
inglaterra;Premier League;1;16/08/2024;Manchester Utd;Fulham;1;0;H;0.0;0.0;0.0;D
inglaterra;Premier League;1;17/08/2024;Ipswich Town;Liverpool;0;2;A;0.0;0.0;0.0;D
inglaterra;Premier League;1;17/08/2024;Newcastle Utd;Southampton;1;0;H;0.0;0.0;0.0;D
inglaterra;Premier League;1;17/08/2024;Everton;Brighton;0;3;A;0.0;0.0;0.0;D
inglaterra;Premier League;1;17/08/2024;Nott'ham Forest;Bournemouth;1;1;D;0.0;0.0;0.0;D
inglaterra;Premier League;1;17/08/2024;Arsenal;Wolves;2;0;H;0.0;0.0;0.0;D
inglaterra;Premier League;1;17/08/2024;West Ham;Aston Villa;1;2;A;0.0;0.0;0.0;D
inglaterra;Premier League;1;18/08/2024;Brentford;Crystal Palace;2;1;H;0.0;0.0;0.0;D
inglaterra;Premier League;1;18/08/2024;Chelsea;Manchester City;0;2;A;0.0;0.0;0.0;D
inglaterra;Premier League;1;19/08/2024;Leicester City;Tottenham;1;1;D;0.0;0.0;0.0;D
inglaterra;Premier League;2;24/08/2024;Brighton;Manchester Utd;2;1;H;1.4999999999999998;0.5;0.9999999999999998;D
inglaterra;Premier League;2;24/08/2024;Manchester City;Ipswich Town;4;1;H;1.0000000000000002;-1.0;2.0;H
inglaterra;Premier League;2;24/08/2024;Southampton;Nott'ham Forest;0;1;A;-0.4999999999999999;-5.551115123125783e-17;-0.49999999999999983;D
inglaterra;Premier League;2;24/08/2024;Tottenham;Everton;4;0;H;0.0;-1.5;1.5;H
inglaterra;Premier League;2;24/08/2024;Fulham;Leicester City;2;1;H;-0.5;0.0;-0.5;D
inglaterra;Premier League;2;24/08/2024;Crystal Palace;West Ham;0;2;A;-0.5;-0.4999999999999998;-2.220446049250313e-16;D
inglaterra;Premier League;2;24/08/2024;Aston Villa;Arsenal;0;2;A;0.4999999999999998;1.0;-0.5000000000000002;D
inglaterra;Premier League;2;25/08/2024;Wolves;Chelsea;2;6;A;-1.0;-1.0;0.0;D
inglaterra;Premier League;2;25/08/2024;Bournemouth;Newcastle Utd;1;1;D;1.1102230246251563e-16;0.4999999999999999;-0.4999999999999998;D
inglaterra;Premier League;2;25/08/2024;Liverpool;Brentford;2;0;H;1.0;0.5;0.5;D
inglaterra;Premier League;3;31/08/2024;Arsenal;Brighton;1;1;D;0.8500000000000004;0.9999999999999992;-0.1499999999999988;D
inglaterra;Premier League;3;31/08/2024;Ipswich Town;Fulham;1;1;D;-0.1499999999999986;0.3333333333333318;-0.4833333333333304;D
inglaterra;Premier League;3;31/08/2024;Nott'ham Forest;Wolves;1;1;D;0.2500000000000006;-1.6499999999999968;1.8999999999999975;H
inglaterra;Premier League;3;31/08/2024;Brentford;Southampton;3;1;H;-1.1500000000000037;-0.7500000000000009;-0.4000000000000028;D
inglaterra;Premier League;3;31/08/2024;Leicester City;Aston Villa;1;2;A;-1.9787621722032974e-15;-0.650000000000001;0.649999999999999;D
inglaterra;Premier League;3;31/08/2024;Everton;Bournemouth;2;3;A;-2.666666666666665;0.2500000000000012;-2.9166666666666665;A
inglaterra;Premier League;3;31/08/2024;West Ham;Manchester City;1;3;A;-1.1499999999999988;3.3499999999999988;-4.499999999999997;A
inglaterra;Premier League;3;01/09/2024;Newcastle Utd;Tottenham;2;1;H;0.2500000000000002;0.6666666666666642;-0.41666666666666397;D
inglaterra;Premier League;3;01/09/2024;Chelsea;Crystal Palace;1;1;D;1.85;-2.6499999999999995;4.5;H
inglaterra;Premier League;3;01/09/2024;Manchester Utd;Liverpool;0;3;A;0.6666666666666679;1.349999999999998;-0.6833333333333302;D
inglaterra;Premier League;4;14/09/2024;Southampton;Manchester Utd;0;3;A;-1.6528276927369636;0.0605739972424414;-1.7134016899794051;A
inglaterra;Premier League;4;14/09/2024;Manchester City;Brentford;2;1;H;2.941648264082217;0.5610051016111723;2.3806431624710447;H
inglaterra;Premier League;4;14/09/2024;Liverpool;Nott'ham Forest;0;1;A;2.57877213180482;-1.148279730176426;3.727051861981246;H
inglaterra;Premier League;4;14/09/2024;Crystal Palace;Leicester City;2;2;D;-0.2429291342343394;-0.7039368124168142;0.4610076781824748;D
inglaterra;Premier League;4;14/09/2024;Fulham;West Ham;1;1;D;-0.1762085062045101;0.6953751802028818;-0.8715836864073919;D
inglaterra;Premier League;4;14/09/2024;Brighton;Ipswich Town;0;0;D;0.7791583661270111;0.1147372965608405;0.6644210695661705;D
inglaterra;Premier League;4;14/09/2024;Aston Villa;Everton;3;2;H;0.3874064107607647;-2.8938797633576336;3.2812861741183985;H
inglaterra;Premier League;4;14/09/2024;Bournemouth;Chelsea;0;1;A;-1.1377893143932272;1.014832315482928;-2.152621629876155;A
inglaterra;Premier League;4;15/09/2024;Tottenham;Arsenal;0;1;A;-0.3230083418066901;1.1707808644962292;-1.4937892063029192;D
inglaterra;Premier League;4;15/09/2024;Wolves;Newcastle Utd;1;2;A;-1.6542221833990836;-0.3712084496456213;-1.2830137337534624;D
inglaterra;Premier League;5;21/09/2024;West Ham;Chelsea;0;3;A;0.0794500550513583;0.7628962126965085;-0.6834461576451503;D
inglaterra;Premier League;5;21/09/2024;Tottenham;Brentford;3;1;H;0.0216659298458049;0.43166691227362;-0.4100009824278151;D
inglaterra;Premier League;5;21/09/2024;Aston Villa;Wolves;3;1;H;-0.1968675045625357;-1.2765831802162069;1.0797156756536712;D
inglaterra;Premier League;5;21/09/2024;Fulham;Newcastle Utd;3;1;H;-0.1567501531171277;-0.0464162073152823;-0.1103339458018454;D
inglaterra;Premier League;5;21/09/2024;Southampton;Ipswich Town;1;1;D;-1.5874977320078532;-0.1254352664149532;-1.4620624655929;D
inglaterra;Premier League;5;21/09/2024;Leicester City;Everton;1;1;D;-0.7369195820875982;-2.198333578940287;1.461413996852689;D
inglaterra;Premier League;5;21/09/2024;Liverpool;Bournemouth;3;0;H;1.6427475032172305;-0.3432498468828704;1.985997350100101;H
