COUNTRY;LEAGUE;WEEK;DATE;HOME;AWAY;FTHG;FTAG;FTR;HOME_SCORE;AWAY_SCORE;DIFF_SCORE;DIFF_FTR
italia-1;Serie A;1;17/08/2024;Genoa;Inter;2;2;D;0.0;0.0;0.0;D
italia-1;Serie A;1;17/08/2024;Parma;Fiorentina;1;1;D;0.0;0.0;0.0;D
italia-1;Serie A;1;17/08/2024;Empoli;Monza;0;0;D;0.0;0.0;0.0;D
italia-1;Serie A;1;17/08/2024;Milan;Torino;2;2;D;0.0;0.0;0.0;D
italia-1;Serie A;1;18/08/2024;Bologna;Udinese;1;1;D;0.0;0.0;0.0;D
italia-1;Serie A;1;18/08/2024;Hellas Verona;Napoli;3;0;H;0.0;0.0;0.0;D
italia-1;Serie A;1;18/08/2024;Cagliari;Roma;0;0;D;0.0;0.0;0.0;D
italia-1;Serie A;1;18/08/2024;Lazio;Venezia;3;1;H;0.0;0.0;0.0;D
italia-1;Serie A;1;19/08/2024;Lecce;Atalanta;0;4;A;0.0;0.0;0.0;D
italia-1;Serie A;1;19/08/2024;Juventus;Como;3;0;H;0.0;0.0;0.0;D
italia-1;Serie A;2;24/08/2024;Udinese;Lazio;2;1;H;-1.6258839764163454e-17;0.9999999999999998;-0.9999999999999998;D
italia-1;Serie A;2;24/08/2024;Parma;Milan;2;1;H;-5.551115123125783e-17;2.220446049250313e-16;-2.7755575615628914e-16;D
italia-1;Serie A;2;24/08/2024;Monza;Genoa;0;1;A;4.4014415379792417e-17;0.0;4.4014415379792417e-17;D
italia-1;Serie A;2;24/08/2024;Inter;Lecce;2;0;H;4.440892098500626e-16;-2.0000000000000004;2.000000000000001;H
italia-1;Serie A;2;25/08/2024;Torino;Atalanta;2;1;H;-2.220446049250313e-16;2.0;-2.0;A
italia-1;Serie A;2;25/08/2024;Fiorentina;Venezia;0;0;D;-5.551115123125783e-17;-0.9999999999999998;0.9999999999999998;D
italia-1;Serie A;2;25/08/2024;Napoli;Bologna;3;0;H;-1.4999999999999998;-1.6258839764163442e-17;-1.4999999999999998;D
italia-1;Serie A;2;25/08/2024;Roma;Empoli;1;2;A;-2.220446049250313e-16;4.401441537979232e-17;-2.6605902030482365e-16;D
italia-1;Serie A;2;26/08/2024;Cagliari;Como;1;1;D;2.5177270856672967e-16;-1.5;1.5000000000000002;H
italia-1;Serie A;2;26/08/2024;Hellas Verona;Juventus;0;3;A;1.4999999999999998;1.5000000000000004;-6.661338147750939e-16;D
italia-1;Serie A;3;30/08/2024;Venezia;Torino;0;1;A;-2.075;-0.0750000000000028;-1.9999999999999973;A
italia-1;Serie A;3;30/08/2024;Inter;Atalanta;4;0;H;-0.8250000000000021;-0.3250000000000033;-0.4999999999999988;D
italia-1;Serie A;3;31/08/2024;Lecce;Cagliari;1;0;H;-3.575;0.9250000000000008;-4.500000000000001;A
italia-1;Serie A;3;31/08/2024;Bologna;Empoli;1;1;D;-1.3249999999999995;0.4249999999999958;-1.7499999999999953;A
italia-1;Serie A;3;31/08/2024;Lazio;Milan;2;2;D;-0.8249999999999992;-0.8250000000000018;2.6645352591003757e-15;D
italia-1;Serie A;3;31/08/2024;Napoli;Parma;2;1;H;0.9249999999999972;-0.5749999999999997;1.499999999999997;D
italia-1;Serie A;3;01/09/2024;Genoa;Hellas Verona;0;2;A;-0.0750000000000016;3.175000000000003;-3.2500000000000044;A
italia-1;Serie A;3;01/09/2024;Fiorentina;Monza;2;2;D;-1.3250000000000013;-0.3250000000000014;-0.9999999999999999;D
italia-1;Serie A;3;01/09/2024;Udinese;Como;1;0;H;-0.5750000000000022;1.6750000000000038;-2.250000000000006;A
italia-1;Serie A;3;01/09/2024;Juventus;Roma;0;0;D;5.425000000000005;0.174999999999999;5.250000000000006;H
italia-1;Serie A;4;14/09/2024;Como;Bologna;2;2;D;-0.9112209582083738;-0.7356457510624145;-0.1755752071459593;D
italia-1;Serie A;4;14/09/2024;Empoli;Juventus;0;0;D;0.0364123507111006;2.375033446067231;-2.3386210953561304;A
italia-1;Serie A;4;14/09/2024;Milan;Venezia;4;0;H;-0.4375697322186686;-1.2512904107087812;0.8137206784901126;D
italia-1;Serie A;4;15/09/2024;Genoa;Roma;1;1;D;0.7671655032903764;0.0854773366428169;0.6816881666475595;D
italia-1;Serie A;4;15/09/2024;Atalanta;Fiorentina;3;2;H;-0.3541265136533424;-0.5253614543427719;0.17123494068942952;D
italia-1;Serie A;4;15/09/2024;Torino;Lecce;0;0;D;-0.0143288855269292;-1.6392977389840797;1.6249688534571505;H
italia-1;Serie A;4;15/09/2024;Cagliari;Napoli;0;4;A;-1.1550137868498775;0.7103329299441304;-1.8653467167940079;A
italia-1;Serie A;4;15/09/2024;Monza;Inter;1;1;D;-0.2405945334470978;1.591247083550986;-1.8318416169980838;A
italia-1;Serie A;4;16/09/2024;Parma;Udinese;2;3;A;-0.0841994188724361;0.0463174661575238;-0.1305168850299599;D
italia-1;Serie A;4;16/09/2024;Lazio;Hellas Verona;2;1;H;-0.2141808922566421;1.950843959767247;-2.165024852023889;A
italia-1;Serie A;5;20/09/2024;Cagliari;Empoli;0;2;A;-1.6034646162307686;0.5941085867962431;-2.197573203027012;A
italia-1;Serie A;5;20/09/2024;Hellas Verona;Torino;2;3;A;1.1765031643941488;-0.3241398727348937;1.5006430371290425;H
italia-1;Serie A;5;21/09/2024;Venezia;Genoa;2;0;H;-1.7727817871992386;0.3499458583285404;-2.122727645527779;A
italia-1;Serie A;5;21/09/2024;Juventus;Napoli;0;0;D;1.7116645963783397;1.0526112756416066;0.6590533207367331;D
italia-1;Serie A;5;21/09/2024;Lecce;Parma;2;2;D;-1.5425163748876454;0.0667195499401138;-1.6092359248277592;A
italia-1;Serie A;5;22/09/2024;Fiorentina;Lazio;2;1;H;-0.7491754075986881;0.5917909272281114;-1.3409663348267995;D
italia-1;Serie A;5;22/09/2024;Monza;Bologna;1;2;A;0.0810191400256018;-0.4293129955370668;0.5103321355626687;D
italia-1;Serie A;5;22/09/2024;Roma;Udinese;3;0;H;0.013063606318088;0.5730451274090104;-0.5599815210909224;D
italia-1;Serie A;5;22/09/2024;Inter;Milan;1;2;A;1.1291975225763196;0.3903972043085241;0.7388003182677955;D
italia-1;Serie A;5;24/09/2024;Atalanta;Como;2;3;A;-0.3716585331612281;-0.937016971995125;0.5653584388338969;D
italia-1;Serie A;6;27/09/2024;Milan;Lecce;3;0;H;0.8503281460763938;-1.1767469968567317;2.0270751429331257;H
italia-1;Serie A;6;28/09/2024;Udinese;Inter;2;3;A;-0.1027728919400707;0.668021536194406;-0.7707944281344766;D
