WEEK;DATE;HOME;AWAY;FTHG;FTAG;DIFF
1;17/08/2024;Genoa;Inter;2;2;0
1;17/08/2024;Parma;Fiorentina;1;1;0
1;17/08/2024;Empoli;Monza;0;0;0
1;17/08/2024;Milan;Torino;2;2;0
1;18/08/2024;Bologna;Udinese;1;1;0
1;18/08/2024;Hellas Verona;Napoli;3;0;3
1;18/08/2024;Cagliari;Roma;0;0;0
1;18/08/2024;Lazio;Venezia;3;1;2
1;19/08/2024;Lecce;Atalanta;0;4;-4
1;19/08/2024;Juventus;Como;3;0;3
2;24/08/2024;Udinese;Lazio;2;1;1
2;24/08/2024;Parma;Milan;2;1;1
2;24/08/2024;Monza;Genoa;0;1;-1
2;24/08/2024;Inter;Lecce;2;0;2
2;25/08/2024;Torino;Atalanta;2;1;1
2;25/08/2024;Fiorentina;Venezia;0;0;0
2;25/08/2024;Napoli;Bologna;3;0;3
2;25/08/2024;Roma;Empoli;1;2;-1
2;26/08/2024;Cagliari;Como;1;1;0
2;26/08/2024;Hellas Verona;Juventus;0;3;-3
3;30/08/2024;Venezia;Torino;0;1;-1
3;30/08/2024;Inter;Atalanta;4;0;4
3;31/08/2024;Lecce;Cagliari;1;0;1
3;31/08/2024;Bologna;Empoli;1;1;0
3;31/08/2024;Lazio;Milan;2;2;0
3;31/08/2024;Napoli;Parma;2;1;1
3;01/09/2024;Genoa;Hellas Verona;0;2;-2
3;01/09/2024;Fiorentina;Monza;2;2;0
3;01/09/2024;Udinese;Como;1;0;1
3;01/09/2024;Juventus;Roma;0;0;0
4;14/09/2024;Como;Bologna;2;2;0
4;14/09/2024;Empoli;Juventus;0;0;0
4;14/09/2024;Milan;Venezia;4;0;4
4;15/09/2024;Genoa;Roma;1;1;0
4;15/09/2024;Atalanta;Fiorentina;3;2;1
4;15/09/2024;Torino;Lecce;0;0;0
4;15/09/2024;Cagliari;Napoli;0;4;-4
4;15/09/2024;Monza;Inter;1;1;0
4;16/09/2024;Parma;Udinese;2;3;-1
4;16/09/2024;Lazio;Hellas Verona;2;1;1
5;20/09/2024;Cagliari;Empoli;0;2;-2
5;20/09/2024;Hellas Verona;Torino;2;3;-1
5;21/09/2024;Venezia;Genoa;2;0;2
5;21/09/2024;Juventus;Napoli;0;0;0
5;21/09/2024;Lecce;Parma;2;2;0
5;22/09/2024;Fiorentina;Lazio;2;1;1
5;22/09/2024;Monza;Bologna;1;2;-1
5;22/09/2024;Roma;Udinese;3;0;3
5;22/09/2024;Inter;Milan;1;2;-1
5;24/09/2024;Atalanta;Como;2;3;-1
6;27/09/2024;Milan;Lecce;3;0;3
6;28/09/2024;Udinese;Inter;2;3;-1
6;28/09/2024;Genoa;Juventus;0;3;-3
6;28/09/2024;Bologna;Atalanta;1;1;0
6;29/09/2024;Torino;Lazio;2;3;-1
6;29/09/2024;Como;Hellas Verona;3;2;1
6;29/09/2024;Roma;Venezia;2;1;1
6;29/09/2024;Empoli;Fiorentina;0;0;0
6;29/09/2024;Napoli;Monza;2;0;2
6;30/09/2024;Parma;Cagliari;2;3;-1
7;04/10/2024;Napoli;Como;3;1;2
7;04/10/2024;Hellas Verona;Venezia;2;1;1
7;05/10/2024;Udinese;Lecce;1;0;1
7;05/10/2024;Atalanta;Genoa;5;1;4
7;05/10/2024;Inter;Torino;3;2;1
7;06/10/2024;Juventus;Cagliari;1;1;0
7;06/10/2024;Lazio;Empoli;2;1;1
7;06/10/2024;Bologna;Parma;0;0;0
7;06/10/2024;Monza;Roma;1;1;0
7;06/10/2024;Fiorentina;Milan;2;1;1
8;19/10/2024;Genoa;Bologna;2;2;0
8;19/10/2024;Como;Parma;1;1;0
8;19/10/2024;Milan;Udinese;1;0;1
8;19/10/2024;Juventus;Lazio;1;0;1
8;20/10/2024;Empoli;Napoli;0;1;-1
8;20/10/2024;Venezia;Atalanta;0;2;-2
8;20/10/2024;Lecce;Fiorentina;0;6;-6
8;20/10/2024;Cagliari;Torino;3;2;1
8;20/10/2024;Roma;Inter;0;1;-1
8;21/10/2024;Hellas Verona;Monza;0;3;-3
9;25/10/2024;Udinese;Cagliari;2;0;2
9;25/10/2024;Torino;Como;1;0;1
9;26/10/2024;Napoli;Lecce;1;0;1
9;26/10/2024;Atalanta;Hellas Verona;6;1;5
9;27/10/2024;Parma;Empoli;1;1;0
9;27/10/2024;Lazio;Genoa;3;0;3
9;27/10/2024;Monza;Venezia;2;2;0
9;27/10/2024;Inter;Juventus;4;4;0
9;27/10/2024;Fiorentina;Roma;5;1;4
10;29/10/2024;Lecce;Hellas Verona;1;0;1
10;29/10/2024;Cagliari;Bologna;0;2;-2
10;29/10/2024;Milan;Napoli;0;2;-2
10;30/10/2024;Venezia;Udinese;3;2;1
10;30/10/2024;Empoli;Inter;0;3;-3
10;30/10/2024;Atalanta;Monza;2;0;2
10;30/10/2024;Juventus;Parma;2;2;0
10;31/10/2024;Genoa;Fiorentina;0;1;-1
10;31/10/2024;Roma;Torino;1;0;1
10;31/10/2024;Como;Lazio;1;5;-4
11;02/11/2024;Bologna;Lecce;1;0;1
11;02/11/2024;Udinese;Juventus;0;2;-2
11;02/11/2024;Monza;Milan;0;1;-1
11;03/11/2024;Napoli;Atalanta;0;3;-3
11;03/11/2024;Torino;Fiorentina;0;1;-1
11;03/11/2024;Hellas Verona;Roma;3;2;1
11;03/11/2024;Inter;Venezia;1;0;1
11;04/11/2024;Empoli;Como;1;0;1
11;04/11/2024;Parma;Genoa;0;1;-1
11;04/11/2024;Lazio;Cagliari;2;1;1
12;07/11/2024;Genoa;Como;1;1;0
12;08/11/2024;Lecce;Empoli;1;1;0
12;09/11/2024;Venezia;Parma;1;2;-1
12;09/11/2024;Cagliari;Milan;3;3;0
12;09/11/2024;Juventus;Torino;2;0;2
12;10/11/2024;Atalanta;Udinese;2;1;1
12;10/11/2024;Fiorentina;Hellas Verona;3;1;2
12;10/11/2024;Roma;Bologna;2;3;-1
12;10/11/2024;Monza;Lazio;0;1;-1
12;10/11/2024;Inter;Napoli;1;1;0
13;23/11/2024;Hellas Verona;Inter;0;5;-5
13;23/11/2024;Milan;Juventus;0;0;0
13;23/11/2024;Parma;Atalanta;1;3;-2
13;24/11/2024;Genoa;Cagliari;2;2;0
13;24/11/2024;Como;Fiorentina;0;2;-2
13;24/11/2024;Torino;Monza;1;1;0
13;24/11/2024;Napoli;Roma;1;0;1
13;24/11/2024;Lazio;Bologna;3;0;3
13;25/11/2024;Empoli;Udinese;1;1;0
13;25/11/2024;Venezia;Lecce;0;1;-1
14;29/11/2024;Cagliari;Hellas Verona;1;0;1
14;30/11/2024;Como;Monza;1;1;0
14;30/11/2024;Milan;Empoli;3;0;3
14;30/11/2024;Bologna;Venezia;3;0;3
14;01/12/2024;Udinese;Genoa;0;2;-2
14;01/12/2024;Torino;Napoli;0;1;-1
14;01/12/2024;Parma;Lazio;3;1;2
14;01/12/2024;Lecce;Juventus;1;1;0
14;02/12/2024;Roma;Atalanta;0;2;-2
15;06/12/2024;Inter;Parma;3;1;2
15;06/12/2024;Atalanta;Milan;2;1;1
15;07/12/2024;Genoa;Torino;0;0;0
15;07/12/2024;Juventus;Bologna;2;2;0
15;07/12/2024;Roma;Lecce;4;1;3
15;08/12/2024;Fiorentina;Cagliari;1;0;1
15;08/12/2024;Hellas Verona;Empoli;1;4;-3
15;08/12/2024;Venezia;Como;2;2;0
15;08/12/2024;Napoli;Lazio;0;1;-1
15;09/12/2024;Monza;Udinese;1;2;-1
16;13/12/2024;Empoli;Torino;0;1;-1
16;14/12/2024;Cagliari;Atalanta;0;1;-1
16;14/12/2024;Udinese;Napoli;1;3;-2
16;14/12/2024;Juventus;Venezia;2;2;0
16;15/12/2024;Lecce;Monza;2;1;1
16;15/12/2024;Parma;Hellas Verona;2;3;-1
16;15/12/2024;Bologna;Fiorentina;1;0;1
16;15/12/2024;Como;Roma;2;0;2
16;15/12/2024;Milan;Genoa;0;0;0
16;16/12/2024;Lazio;Inter;0;6;-6
17;20/12/2024;Hellas Verona;Milan;0;1;-1
17;21/12/2024;Torino;Bologna;0;2;-2
17;21/12/2024;Genoa;Napoli;1;2;-1
17;21/12/2024;Lecce;Lazio;1;2;-1
17;22/12/2024;Roma;Parma;5;0;5
17;22/12/2024;Venezia;Cagliari;2;1;1
17;22/12/2024;Atalanta;Empoli;3;2;1
17;22/12/2024;Monza;Juventus;1;2;-1
17;23/12/2024;Fiorentina;Udinese;1;2;-1
17;23/12/2024;Inter;Como;2;0;2
18;28/12/2024;Empoli;Genoa;1;2;-1
18;28/12/2024;Parma;Monza;2;1;1
18;28/12/2024;Cagliari;Inter;0;3;-3
18;28/12/2024;Lazio;Atalanta;1;1;0
18;29/12/2024;Udinese;Torino;2;2;0
18;29/12/2024;Napoli;Venezia;1;0;1
18;29/12/2024;Juventus;Fiorentina;2;2;0
18;29/12/2024;Milan;Roma;1;1;0
18;30/12/2024;Como;Lecce;2;0;2
18;30/12/2024;Bologna;Hellas Verona;2;3;-1
19;04/01/2025;Venezia;Empoli;1;1;0
19;04/01/2025;Fiorentina;Napoli;0;3;-3
19;04/01/2025;Hellas Verona;Udinese;0;0;0
19;05/01/2025;Monza;Cagliari;1;2;-1
19;05/01/2025;Lecce;Genoa;0;0;0
19;05/01/2025;Torino;Parma;0;0;0
19;05/01/2025;Roma;Lazio;2;0;2
20;10/01/2025;Lazio;Como;1;1;0
20;11/01/2025;Empoli;Lecce;1;3;-2
20;11/01/2025;Udinese;Atalanta;0;0;0
20;11/01/2025;Torino;Juventus;1;1;0
20;11/01/2025;Milan;Cagliari;1;1;0
20;12/01/2025;Genoa;Parma;1;0;1
