WEEK;DATE;HOME;AWAY;FTHG;FTAG;DIFF
1;16/08/2024;Brescia;Palermo;1;0;1
1;17/08/2024;Pisa;Spezia;2;2;0
1;17/08/2024;Salernitana;Cittadella;2;1;1
1;17/08/2024;Südtirol;Modena;2;1;1
1;17/08/2024;Bari;Juve Stabia;1;3;-2
1;18/08/2024;Reggiana;Mantova;2;2;0
1;18/08/2024;Cosenza;Cremonese;1;0;1
1;18/08/2024;Catanzaro;Sassuolo;1;1;0
1;18/08/2024;Cesena;Carrarese;2;1;1
1;18/08/2024;Frosinone;Sampdoria;2;2;0
2;23/08/2024;Modena;Bari;2;1;1
2;24/08/2024;Südtirol;Salernitana;3;2;1
2;24/08/2024;Sampdoria;Reggiana;0;1;-1
2;24/08/2024;Spezia;Frosinone;2;1;1
2;24/08/2024;Pisa;Palermo;2;0;2
2;24/08/2024;Sassuolo;Cesena;2;1;1
2;24/08/2024;Brescia;Cittadella;0;1;-1
2;24/08/2024;Cremonese;Carrarese;1;0;1
2;25/08/2024;Catanzaro;Juve Stabia;0;0;0
2;25/08/2024;Mantova;Cosenza;3;2;1
3;27/08/2024;Cittadella;Pisa;1;1;0
3;27/08/2024;Cremonese;Palermo;0;1;-1
3;27/08/2024;Reggiana;Brescia;2;0;2
3;27/08/2024;Bari;Sassuolo;1;1;0
3;27/08/2024;Salernitana;Sampdoria;3;2;1
3;27/08/2024;Frosinone;Modena;1;1;0
3;27/08/2024;Carrarese;Südtirol;2;0;2
3;28/08/2024;Cesena;Catanzaro;2;0;2
3;28/08/2024;Cosenza;Spezia;0;0;0
3;28/08/2024;Juve Stabia;Mantova;1;0;1
4;31/08/2024;Sampdoria;Bari;0;0;0
4;31/08/2024;Pisa;Reggiana;2;1;1
4;31/08/2024;Modena;Cittadella;0;1;-1
4;31/08/2024;Sassuolo;Cremonese;1;4;-3
4;31/08/2024;Südtirol;Brescia;1;2;-1
4;01/09/2024;Mantova;Salernitana;1;0;1
4;01/09/2024;Spezia;Cesena;2;1;1
4;01/09/2024;Palermo;Cosenza;1;1;0
4;01/09/2024;Frosinone;Juve Stabia;0;0;0
4;01/09/2024;Catanzaro;Carrarese;3;1;2
5;13/09/2024;Cesena;Modena;2;2;0
5;14/09/2024;Cittadella;Catanzaro;0;0;0
5;14/09/2024;Juve Stabia;Palermo;1;3;-2
5;14/09/2024;Brescia;Frosinone;4;0;4
5;14/09/2024;Cremonese;Spezia;1;1;0
5;14/09/2024;Bari;Mantova;2;0;2
5;15/09/2024;Cosenza;Sampdoria;2;1;1
5;15/09/2024;Carrarese;Sassuolo;0;2;-2
5;15/09/2024;Reggiana;Südtirol;1;3;-2
5;15/09/2024;Salernitana;Pisa;2;3;-1
6;20/09/2024;Catanzaro;Cremonese;1;2;-1
6;21/09/2024;Pisa;Brescia;2;1;1
6;21/09/2024;Cosenza;Sassuolo;0;1;-1
6;21/09/2024;Reggiana;Salernitana;0;0;0
6;21/09/2024;Palermo;Cesena;0;0;0
6;21/09/2024;Sampdoria;Südtirol;1;0;1
6;21/09/2024;Modena;Juve Stabia;3;0;3
6;22/09/2024;Mantova;Cittadella;1;0;1
6;22/09/2024;Frosinone;Bari;0;3;-3
6;22/09/2024;Spezia;Carrarese;4;2;2
7;27/09/2024;Cittadella;Frosinone;1;2;-1
7;28/09/2024;Sassuolo;Spezia;0;0;0
7;28/09/2024;Bari;Cosenza;1;1;0
7;28/09/2024;Carrarese;Reggiana;0;0;0
7;29/09/2024;Juve Stabia;Pisa;2;0;2
7;29/09/2024;Salernitana;Catanzaro;0;0;0
7;29/09/2024;Cesena;Mantova;4;2;2
7;29/09/2024;Modena;Sampdoria;1;3;-2
7;30/09/2024;Südtirol;Palermo;1;3;-2
7;30/09/2024;Brescia;Cremonese;3;2;1
8;04/10/2024;Sampdoria;Juve Stabia;1;2;-1
8;05/10/2024;Frosinone;Carrarese;0;1;-1
8;05/10/2024;Spezia;Reggiana;1;0;1
8;05/10/2024;Sassuolo;Cittadella;6;1;5
8;05/10/2024;Pisa;Cesena;3;1;2
8;06/10/2024;Mantova;Brescia;1;1;0
8;06/10/2024;Catanzaro;Modena;2;2;0
8;06/10/2024;Cosenza;Südtirol;0;2;-2
8;06/10/2024;Cremonese;Bari;1;1;0
8;06/10/2024;Palermo;Salernitana;0;1;-1
9;18/10/2024;Bari;Catanzaro;1;1;0
9;19/10/2024;Salernitana;Spezia;0;2;-2
9;19/10/2024;Modena;Palermo;2;2;0
9;19/10/2024;Cittadella;Cosenza;0;0;0
9;19/10/2024;Südtirol;Pisa;1;2;-1
9;19/10/2024;Brescia;Sassuolo;2;5;-3
9;20/10/2024;Reggiana;Frosinone;2;0;2
9;20/10/2024;Juve Stabia;Cremonese;1;2;-1
9;20/10/2024;Carrarese;Mantova;1;1;0
9;20/10/2024;Cesena;Sampdoria;3;5;-2
10;25/10/2024;Spezia;Bari;0;0;0
10;26/10/2024;Cosenza;Juve Stabia;1;1;0
10;26/10/2024;Palermo;Reggiana;2;0;2
10;26/10/2024;Cesena;Brescia;2;0;2
10;26/10/2024;Cremonese;Salernitana;2;1;1
10;26/10/2024;Carrarese;Cittadella;3;0;3
10;26/10/2024;Sassuolo;Modena;2;0;2
10;27/10/2024;Sampdoria;Mantova;1;0;1
10;27/10/2024;Frosinone;Pisa;0;0;0
10;27/10/2024;Catanzaro;Südtirol;3;0;3
11;29/10/2024;Salernitana;Cesena;1;1;0
11;29/10/2024;Reggiana;Cosenza;0;1;-1
11;29/10/2024;Bari;Carrarese;0;0;0
11;29/10/2024;Modena;Cremonese;2;2;0
11;29/10/2024;Brescia;Spezia;1;1;0
11;29/10/2024;Juve Stabia;Sassuolo;2;2;0
11;30/10/2024;Südtirol;Frosinone;1;1;0
11;30/10/2024;Pisa;Catanzaro;0;0;0
