;WEEK2;WEEK3;WEEK4;WEEK5;WEEK6;WEEK7;WEEK8;WEEK9;WEEK10;WEEK11;WEEK12;WEEK13;WEEK14;WEEK15;WEEK16;WEEK17;WEEK18;WEEK19;WEEK20;WEEK21;WEEK22;WEEK23;WEEK24;WEEK25;WEEK26;WEEK27;WEEK28;WEEK29;WEEK30;WEEK31;WEEK32
Bari;-0.9999999999999998;-0.8250000000000015;-0.6565155471688052;-1.140069219103244;-0.5560507260169925;-0.05075808545994591;0.11482309204302503;0.15726933190585227;0.17399305984367297;0.30184345574612514;0.2629423112129273;0.19541613440040265;0.3037160537705142;0.3227865111205971;0.3064799955410394;0.36227196786285243;0.2622819205232476;0.15555555555555542;0.09999999999999998;0.22727272727272765;0.21113988817265766;0.20001626201281583;0.19307216987389894;0.1938793260865423;0.10951039288596726;0.12092399732751274;0.13720975452187217;0.12294076506780113;0.16221858694588814;0.14571950456551136;0.1017211049874749
Brescia;0.5;-1.0749999999999993;-0.7761578233025588;-0.1433874428794527;0.6281800567346376;0.36762164519420437;0.4005866906675994;0.27023861033558666;0.005412114614332497;-0.2330628742735077;-0.16285529632423484;-0.05914464149227898;-0.11737845040476302;-0.11478556057158701;-0.08263240845556938;-0.13866010929243522;-0.1455607250048042;-0.16111111111111087;-0.15000000000000033;-0.13181818181818172;-0.13458191621050394;-0.11864901136911812;-0.1485846610702225;-0.11289610283809474;-0.12295002474941608;-0.14945891279119702;-0.15842845122330662;-0.18123576796623847;-0.16858771713340198;-0.20752669886350503;-0.1502064044064574
Carrarese;-0.5000000000000002;-1.5750000000000006;0.051813157488062866;-0.6223775692596019;-0.7300041548457503;-0.8143985313210402;-0.6947917741576803;-0.5287626528278381;-0.4792585858621473;-0.20192957327580136;-0.17523487126913795;-0.15329351907085204;-0.28705339831385535;-0.13565378962706243;-0.36802672787835866;-0.2581229319075384;-0.2533931027679341;-0.19444444444444445;-0.19999999999999996;-0.09772727272727241;-0.10754357337128422;-0.23940780986476207;-0.27026672972602306;-0.3064545535175068;-0.34328078528498124;-0.30843320301023575;-0.3099997342989802;-0.29303791834024884;-0.3293526546071984;-0.32600207039757173;-0.2840841314447782
Catanzaro;0.0;0.8750000000000007;0.11447062506140626;-0.19263736540873558;-0.10772501501253728;-0.2195271895337218;-0.15889781304476422;-0.13915187489177666;-0.0934793540162236;0.22541606386260948;0.24490012878133868;0.154305461368619;0.1238463258453119;0.095232643866377;0.06491465707298348;0.11514373000099665;0.1754680674580998;0.16666666666666655;0.15000000000000013;0.16818181818181796;0.13286414452556694;0.15863184058849236;0.19273936610884088;0.2698557036753604;0.23063129619919517;0.24141562433161662;0.30025357023323407;0.28426451413301873;0.15607768020204832;0.2675081360232485;0.22472255609159655
Cesena;0.5000000000000001;-0.4250000000000011;0.869600803192628;0.07803420370371367;0.032685021173889654;0.18001960745136292;0.4421271285932337;0.2843313717411094;0.05719402275453293;0.27875510210772236;0.2250634157250296;0.24780992747718308;0.3250003985504639;0.28755391370088906;0.14478240511682489;0.10899387464729154;0.15699106489230996;0.09444444444444451;0.050000000000000176;-0.05227272727272765;-0.07506722590659509;-0.0492883540079766;-0.038048888306314185;-0.10688852102823264;-0.0743220114431138;-0.05050056614183761;0.0024161246337611807;0.05849130673836809;0.046422085839330454;0.07514986045785392;0.037664290391465405
Cittadella;-0.5;-0.22500000000000017;-0.09777998802221936;0.33767253414385107;0.4267334135068067;0.20088001981396597;-0.27053622176178854;-0.761020131349508;-0.7056891464998861;-0.9661457041650185;-0.8581767179831329;-0.6805463922988136;-0.7632674199318418;-0.7618402690030142;-0.7040886821334702;-0.9102943862766191;-0.8409798449962901;-0.7027777777777774;-0.6499999999999998;-0.5704545454545457;-0.5439353965738227;-0.5685740759305286;-0.5157544944990494;-0.5462283936826179;-0.4621843574949024;-0.4780550005297291;-0.5278740714460518;-0.4762406499007587;-0.6080874751014864;-0.5861260638587286;-0.5539580145608431
Cosenza;0.4999999999999998;0.12500000000000025;0.11589008584405111;0.43427507000926224;0.28851258881551806;0.16981383471115472;0.211288594394171;-0.040257283752626126;-0.05962680803678096;-0.06929027260219112;-0.013958531499125288;-0.05626833907061984;-0.003919737255386469;-0.0032584609035189106;0.05189816128829118;-0.05682439251416146;-0.10678194248278587;-0.16666666666666644;-0.15000000000000008;-0.13636363636363605;-0.14011113173004172;-0.20231436921343512;-0.260373032782579;-0.3066383396657955;-0.2625537039075467;-0.35994160179358964;-0.4543481879736825;-0.4375705612986374;-0.40173864642842133;-0.5110815733228588;-0.565651731176273
Cremonese;-0.49999999999999994;-0.7250000000000018;-0.6078581595789915;0.2511746277969523;0.4893484312505322;0.5339010290593491;0.45326131481605003;0.4343640353649033;0.5041547283980119;0.5995535689310175;0.5321574453550678;0.3431552621225805;0.2243744241312478;0.23344492106136505;0.43985078708607156;0.30692506867026964;0.23195284126678176;0.20555555555555532;0.24999999999999983;0.2318181818181819;0.33126481175400885;0.39670673288563446;0.36838086333230313;0.30358206107090885;0.3518073797805151;0.3410496805510728;0.2925515205332941;0.2740294364184793;0.410629908178503;0.43485173123785037;0.4038079059085714
Frosinone;0.0;-0.47499999999999887;-0.5672544221757799;-0.23284406260603124;-1.0276166709198324;-1.3509724743248104;-0.9441040809374434;-1.0888020130560836;-1.1622648215024434;-1.0306997090585484;-0.9731625264999021;-0.8519632229138128;-0.7824697427019153;-0.7817695867143846;-0.6720409149241122;-0.578216245093966;-0.5223515652073527;-0.6138888888888888;-0.5000000000000001;-0.4795454545454544;-0.5775922252013057;-0.5547817630478549;-0.6776312001885043;-0.6798138134722209;-0.6465460657697275;-0.6244573393025782;-0.6134121697364472;-0.5738591611756562;-0.5279324030141185;-0.4820758480455382;-0.38395241469509483
Juve Stabia;1.0;1.0249999999999988;1.0312924449631853;0.5246683421737712;-0.09369006620745729;-0.5507403730238353;-0.056015310790211374;0.015599405770370861;-0.037304201995659175;0.007538536414950819;0.10668949190812467;0.05523464531886637;-0.1054415546449833;-0.08451209007737896;-0.11474742578458894;-0.10299654516006157;-0.057792009328352226;0.013888888888888973;-0.049999999999999774;-0.0704545454545457;-0.03829376618272514;-0.06728150275922185;-0.0390875076515427;-0.07450424583923344;0.0119542286176651;0.11117753995711765;0.0553168702874855;0.0036773601900114616;-0.011880541386328334;0.015057537095811148;0.05549658889744266
