COUNTRY;LEAGUE;WEEK;DATE;HOME;AWAY;FTHG;FTAG;FTR;HOME_SCORE;AWAY_SCORE;DIFF_SCORE;DIFF_FTR
peru;Liga 1;1;07/02/2025;Sport Huancayo;Alianza Atlético;2;1;H;0.0;0.0;0.0;D
peru;Liga 1;1;08/02/2025;Melgar;UTC;3;0;H;0.0;0.0;0.0;D
peru;Liga 1;1;08/02/2025;Atlético Grau;Ayacucho;1;0;H;0.0;0.0;0.0;D
peru;Liga 1;1;09/02/2025;Alianza Univ;Sporting Cristal;2;2;D;0.0;0.0;0.0;D
peru;Liga 1;1;09/02/2025;Sport Boys;Juan Pablo II;1;0;H;0.0;0.0;0.0;D
peru;Liga 1;1;09/02/2025;Comerciantes Unidos;Universitario;1;1;D;0.0;0.0;0.0;D
peru;Liga 1;1;09/02/2025;Cienciano;ADT Tarma;2;2;D;0.0;0.0;0.0;D
peru;Liga 1;1;08/02/2025;Alianza Lima;Cusco;3;0;H;0.0;0.0;0.0;D
peru;Liga 1;1;10/02/2025;CDC Santa Rosa;Deportivo Garcilaso;2;2;D;0.0;0.0;0.0;D
peru;Liga 1;2;14/02/2025;UTC;Binacional;0;4;A;-1.4999999999999998;0.0;-1.4999999999999998;D
peru;Liga 1;2;14/02/2025;Cusco;Melgar;0;1;A;-1.5000000000000002;1.4999999999999998;-3.0;A
peru;Liga 1;2;15/02/2025;ADT Tarma;Atlético Grau;4;3;H;0.0;0.5;-0.5;D
peru;Liga 1;2;15/02/2025;Alianza Atlético;Alianza Lima;3;1;H;-0.4999999999999999;1.5;-2.0;A
peru;Liga 1;2;16/02/2025;Sporting Cristal;Sport Boys;2;1;H;0.0;0.5;-0.5;D
peru;Liga 1;2;16/02/2025;Juan Pablo II;Sport Huancayo;0;1;A;-0.5;0.4999999999999999;-0.9999999999999999;D
peru;Liga 1;2;16/02/2025;Deportivo Garcilaso;Comerciantes Unidos;2;1;H;0.0;-1.1102230246251563e-16;1.1102230246251563e-16;D
peru;Liga 1;2;15/02/2025;Universitario;Cienciano;3;2;H;1.1102230246251563e-16;0.0;1.1102230246251563e-16;D
peru;Liga 1;2;17/02/2025;Ayacucho;Alianza Univ;3;2;H;-0.5;0.0;-0.5;D
peru;Liga 1;3;22/02/2025;Comerciantes Unidos;CDC Santa Rosa;1;1;D;4.526315789473703;5.526315789473687;-0.999999999999984;D
peru;Liga 1;3;22/02/2025;Sport Boys;Ayacucho;2;1;H;-0.4736842105263194;1.5263157894736847;-2.000000000000004;A
peru;Liga 1;3;22/02/2025;Sport Huancayo;Sporting Cristal;0;1;A;-0.4736842105263175;0.5263157894736865;-1.000000000000004;D
peru;Liga 1;3;21/02/2025;Alianza Lima;Juan Pablo II;1;0;H;-3.473684210526311;-1.4736842105263197;-1.9999999999999913;A
peru;Liga 1;3;23/02/2025;Alianza Univ;ADT Tarma;2;3;A;0.5263157894736823;3.526315789473687;-3.000000000000005;A
peru;Liga 1;3;22/02/2025;Cienciano;Deportivo Garcilaso;2;3;A;3.526315789473693;5.526315789473693;-2.0;A
peru;Liga 1;3;24/02/2025;Binacional;Cusco;1;2;A;-4.473684210526317;-6.473684210526312;1.9999999999999956;H
peru;Liga 1;3;23/02/2025;Melgar;Alianza Atlético;2;1;H;-5.473684210526314;-1.4736842105263137;-4.0;A
peru;Liga 1;4;27/02/2025;ADT Tarma;Sport Boys;2;2;D;1.2770468064543163;0.1547520623801198;1.1222947440741966;D
peru;Liga 1;4;28/02/2025;Deportivo Garcilaso;Atlético Grau;2;0;H;2.458864988272491;0.5899976824419493;1.8688673058305418;H
peru;Liga 1;4;01/03/2025;Cusco;UTC;1;1;D;-2.2190026610826084;-5.015636120374946;2.796633459292338;H
peru;Liga 1;4;01/03/2025;Alianza Atlético;Binacional;4;1;H;-0.5072197686057938;-2.117319390728776;1.6100996221229824;H
peru;Liga 1;4;02/03/2025;Ayacucho;Sport Huancayo;1;1;D;-0.0970514415704186;0.0180292867016577;-0.1150807282720763;D
peru;Liga 1;4;02/03/2025;Universitario;Alianza Univ;4;0;H;2.09522862463613;-0.0359040695333166;2.131132694169447;H
peru;Liga 1;4;01/03/2025;Sporting Cristal;Alianza Lima;1;2;A;0.712292426516155;-0.6257357424979253;1.3380281690140803;D
peru;Liga 1;5;07/03/2025;Alianza Univ;Deportivo Garcilaso;0;0;D;-0.7807254820623778;2.330050444375537;-3.110775926437915;A
peru;Liga 1;5;08/03/2025;UTC;Alianza Atlético;0;0;D;-3.953723404866159;0.0987253507477479;-4.052448755613907;A
peru;Liga 1;5;08/03/2025;Sport Huancayo;ADT Tarma;2;1;H;-0.0600103734282542;0.7219223740030657;-0.7819327474313199;D
peru;Liga 1;5;08/03/2025;Melgar;Sporting Cristal;1;0;H;-0.4099003204100486;0.0491080277002425;-0.4590083481102911;D
peru;Liga 1;5;07/03/2025;Alianza Lima;Ayacucho;2;0;H;-0.0586209160939978;-0.380260736448778;0.3216398203547802;D
peru;Liga 1;5;09/03/2025;Sport Boys;Universitario;0;2;A;0.0957888823855765;2.486328406495961;-2.390539524110385;A
peru;Liga 1;5;10/03/2025;Atlético Grau;CDC Santa Rosa;2;1;H;0.2239040273099413;1.8565870486419345;-1.6326830213319932;A
peru;Liga 1;5;10/03/2025;Binacional;Juan Pablo II;2;0;H;-2.076566987076717;-1.0076141357122286;-1.0689528513644884;D
peru;Liga 1;5;09/03/2025;Cienciano;Comerciantes Unidos;3;2;H;1.348722068379125;1.8909886331711447;-0.5422665647920197;D
peru;Liga 1;4;23/03/2025;CDC Santa Rosa;Cienciano;0;0;D;2.186137715545218;1.2770468064543146;0.9090909090909036;D
peru;Liga 1;6;27/03/2025;Comerciantes Unidos;Atlético Grau;2;2;D;0.0967348246152141;-0.2732094687051767;0.3699442933203908;D
peru;Liga 1;6;27/03/2025;Ayacucho;Melgar;2;3;A;-0.6828567151656144;1.1707169919147242;-1.8535737070803386;A
peru;Liga 1;6;28/03/2025;Alianza Atlético;Cusco;2;4;A;0.6824181587153315;-0.7031986993463207;1.3856168580616521;D
peru;Liga 1;6;29/03/2025;ADT Tarma;Alianza Lima;3;0;H;0.0321042288327907;0.6778250053261234;-0.6457207764933327;D
peru;Liga 1;6;29/03/2025;Sporting Cristal;Binacional;5;0;H;0.2059285769583677;-0.1590567259576537;0.3649853029160214;D
peru;Liga 1;6;29/03/2025;Deportivo Garcilaso;Sport Boys;4;0;H;0.6311006729640558;-0.1963190484549999;0.8274197214190557;D
peru;Liga 1;6;28/03/2025;Universitario;Sport Huancayo;3;1;H;1.5763949616305988;0.2248855909619461;1.3515093706686527;D
peru;Liga 1;6;30/03/2025;CDC Santa Rosa;Alianza Univ;3;1;H;-0.0731860614519406;-0.8474656549559589;0.7742795935040183;D
peru;Liga 1;6;30/03/2025;Juan Pablo II;UTC;4;2;H;-1.113166294531147;-1.50228006866848;0.38911377413733317;D
peru;Liga 1;7;04/04/2025;Binacional;Ayacucho;1;1;D;-1.7479886798492312;-0.6216415824785932;-1.126347097370638;D
peru;Liga 1;7;05/04/2025;Atlético Grau;Cienciano;1;1;D;0.598229476963282;1.1399038594075894;-0.5416743824443074;D
peru;Liga 1;7;05/04/2025;Melgar;ADT Tarma;4;0;H;0.442857558287006;0.8278661343748391;-0.3850085760878331;D
