COUNTRY;LEAGUE;WEEK;DATE;HOME;AWAY;FTHG;FTAG;FTR;HOME_SCORE;AWAY_SCORE;DIFF_SCORE;DIFF_FTR
uruguay;Primera Div;1;31/01/2025;Cerro Largo;Juventud de Las Piedras;1;1;D;0.0;0.0;0.0;D
uruguay;Primera Div;1;01/02/2025;Danubio;Liverpool;1;1;D;0.0;0.0;0.0;D
uruguay;Primera Div;1;01/02/2025;Progreso;Peñarol;1;3;A;0.0;0.0;0.0;D
uruguay;Primera Div;1;31/01/2025;Defensor;Boston River;2;0;H;0.0;0.0;0.0;D
uruguay;Primera Div;1;02/02/2025;Miramar Misiones;Plaza Colonia;0;1;A;0.0;0.0;0.0;D
uruguay;Primera Div;1;02/02/2025;Torque;Nacional;1;0;H;0.0;0.0;0.0;D
uruguay;Primera Div;1;03/02/2025;Cerro;River Plate;1;1;D;0.0;0.0;0.0;D
uruguay;Primera Div;1;02/02/2025;Wanderers;Racing;0;0;D;0.0;0.0;0.0;D
uruguay;Primera Div;2;07/02/2025;Cerro Largo;Progreso;4;1;H;1.1102230246251563e-16;-1.0;1.0;D
uruguay;Primera Div;2;08/02/2025;Liverpool;Miramar Misiones;2;1;H;0.0;-0.4999999999999999;0.4999999999999999;D
uruguay;Primera Div;2;08/02/2025;Racing;Cerro;0;1;A;0.0;0.0;0.0;D
uruguay;Primera Div;2;08/02/2025;River Plate;Defensor;0;1;A;0.0;1.0000000000000002;-1.0000000000000002;D
uruguay;Primera Div;2;07/02/2025;Plaza Colonia;Wanderers;2;0;H;0.4999999999999999;0.0;0.4999999999999999;D
uruguay;Primera Div;2;09/02/2025;Juventud de Las Piedras;Danubio;2;2;D;-2.220446049250313e-16;0.0;-2.220446049250313e-16;D
uruguay;Primera Div;2;09/02/2025;Boston River;Torque;0;0;D;-1.0;0.4999999999999999;-1.5;A
uruguay;Primera Div;2;09/02/2025;Nacional;Peñarol;1;1;D;-0.4999999999999999;1.0;-1.5;A
uruguay;Primera Div;3;14/02/2025;Cerro;Plaza Colonia;0;1;A;0.4374999999999998;1.0624999999999991;-0.6249999999999993;D
uruguay;Primera Div;3;15/02/2025;Danubio;Cerro Largo;0;0;D;0.6875000000000004;0.4374999999999995;0.25000000000000094;D
uruguay;Primera Div;3;15/02/2025;Peñarol;Boston River;1;1;D;-0.8125000000000007;-0.1874999999999995;-0.6250000000000011;D
uruguay;Primera Div;3;14/02/2025;Wanderers;Liverpool;1;1;D;-0.812499999999999;0.8124999999999973;-1.6249999999999964;A
uruguay;Primera Div;3;16/02/2025;Progreso;Nacional;1;5;A;-2.6875;-0.9374999999999998;-1.7500000000000002;A
uruguay;Primera Div;3;16/02/2025;Miramar Misiones;Juventud de Las Piedras;1;2;A;-0.0625000000000004;0.5624999999999993;-0.6249999999999998;D
uruguay;Primera Div;3;15/02/2025;Defensor;Racing;2;0;H;1.6875000000000009;-0.6874999999999994;2.3750000000000004;H
uruguay;Primera Div;3;16/02/2025;Torque;River Plate;2;1;H;-0.0624999999999995;0.5625000000000011;-0.6250000000000007;D
uruguay;Primera Div;4;21/02/2025;Racing;Torque;3;1;H;-0.5557345360824744;0.8294274668630347;-1.385162002945509;D
uruguay;Primera Div;4;22/02/2025;Liverpool;Cerro;2;1;H;0.0366439617083955;0.2432345360824739;-0.2065905743740784;D
uruguay;Primera Div;4;22/02/2025;Boston River;Nacional;2;3;A;0.0580725331369656;0.2151693667157581;-0.1570968335787925;D
uruguay;Primera Div;4;22/02/2025;Cerro Largo;Miramar Misiones;3;2;H;0.1437500000000005;-0.5491439617083945;0.692893961708395;D
uruguay;Primera Div;4;23/02/2025;Danubio;Progreso;1;1;D;0.1419734904271008;-2.95625;3.0982234904271007;H
uruguay;Primera Div;4;23/02/2025;Juventud de Las Piedras;Wanderers;1;0;H;0.2455265095728998;-0.4828976435935207;0.7284241531664205;D
uruguay;Primera Div;4;23/02/2025;Plaza Colonia;Defensor;1;2;A;1.070397643593521;1.5724594992636225;-0.5020618556701015;D
uruguay;Primera Div;4;23/02/2025;River Plate;Peñarol;1;1;D;0.2150405007363768;-0.2276693667157595;0.44270986745213625;D
